county,dhhs_cases,dhhs_deaths

Alamance County,106,1
Alexander County,4,0
Alleghany County,4,0
Anson County,27,0
Ashe County,5,0
Beaufort County,22,0
Bertie County,44,2
Bladen County,25,0
Brunswick County,43,2
Buncombe County,65,4
Burke County,106,8
Cabarrus County,308,11
Caldwell County,34,0
Camden County,1,0
Carteret County,29,3
Caswell County,24,0
Catawba County,54,1
Chatham County,343,9
Cherokee County,16,1
Chowan County,6,0
Clay County,5,0
Cleveland County,47,2
Columbus County,149,10
Craven County,42,4
Cumberland County,256,8
Currituck County,4,0
Dare County,11,1
Davidson County,166,8
Davie County,31,2
Duplin County,103,0
Durham County,736,20
Edgecombe County,96,4
Forsyth County,245,5
Franklin County,104,19
Gaston County,142,3
Gates County,7,0
Graham County,1,0
Granville County,137,5
Greene County,17,0
Guilford County,415,30
Halifax County,57,1
Harnett County,164,7
Haywood County,10,0
Henderson County,195,21
Hertford County,39,1
Hoke County,82,0
Hyde County,1,0
Iredell County,112,5
Jackson County,15,0
Johnston County,159,12
Jones County,15,2
Lee County,169,0
Lenoir County,68,4
Lincoln County,27,0
Macon County,3,1
Madison County,1,0
Martin County,16,0
McDowell County,25,1
Mecklenburg County,"1,651",49
Mitchell County,5,0
Montgomery County,35,2
Moore County,79,3
Nash County,97,3
New Hanover County,75,3
Northampton County,87,4
Onslow County,46,1
Orange County,219,17
Pamlico County,7,0
Pasquotank County,36,1
Pender County,13,0
Perquimans County,14,0
Person County,21,1
Pitt County,124,2
Polk County,20,0
Randolph County,209,3
Richmond County,48,2
Robeson County,175,3
Rockingham County,26,2
Rowan County,382,20
Rutherford County,140,4
Sampson County,65,0
Scotland County,26,0
Stanly County,29,4
Stokes County,11,0
Surry County,13,0
Swain County,3,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,254,11
Vance County,97,6
Wake County,839,18
Warren County,15,0
Washington County,24,2
Watauga County,9,0
Wayne County,658,11
Wilkes County,42,1
Wilson County,162,7
Yadkin County,17,1
