county,dhhs_cases,dhhs_deaths

Alamance County,121,2
Alexander County,4,0
Alleghany County,6,0
Anson County,29,0
Ashe County,5,0
Beaufort County,21,0
Bertie County,47,2
Bladen County,27,0
Brunswick County,44,2
Buncombe County,72,4
Burke County,110,9
Cabarrus County,310,12
Caldwell County,34,0
Camden County,2,0
Carteret County,27,3
Caswell County,30,0
Catawba County,56,1
Chatham County,375,9
Cherokee County,16,1
Chowan County,6,0
Clay County,5,0
Cleveland County,47,2
Columbus County,164,10
Craven County,42,4
Cumberland County,275,8
Currituck County,5,0
Dare County,13,1
Davidson County,180,8
Davie County,31,2
Duplin County,113,0
Durham County,750,22
Edgecombe County,98,5
Forsyth County,266,5
Franklin County,104,19
Gaston County,145,3
Gates County,9,0
Graham County,1,0
Granville County,157,5
Greene County,19,0
Guilford County,437,31
Halifax County,62,1
Harnett County,173,8
Haywood County,12,0
Henderson County,201,21
Hertford County,40,1
Hoke County,97,0
Hyde County,1,0
Iredell County,119,5
Jackson County,16,0
Johnston County,162,14
Jones County,17,2
Lee County,197,1
Lenoir County,82,4
Lincoln County,28,0
Macon County,3,1
Madison County,1,0
Martin County,18,0
McDowell County,25,1
Mecklenburg County,"1,699",49
Mitchell County,5,0
Montgomery County,36,2
Moore County,83,3
Nash County,99,3
New Hanover County,79,3
Northampton County,89,4
Onslow County,51,1
Orange County,223,18
Pamlico County,8,0
Pasquotank County,36,1
Pender County,16,0
Perquimans County,14,1
Person County,22,1
Pitt County,128,2
Polk County,23,0
Randolph County,228,3
Richmond County,55,2
Robeson County,201,3
Rockingham County,26,2
Rowan County,388,24
Rutherford County,142,4
Sampson County,83,0
Scotland County,29,0
Stanly County,29,4
Stokes County,11,0
Surry County,17,1
Swain County,4,0
Transylvania County,8,0
Tyrrell County,4,0
Union County,257,11
Vance County,113,7
Wake County,870,19
Warren County,15,0
Washington County,24,3
Watauga County,8,0
Wayne County,674,11
Wilkes County,59,1
Wilson County,173,7
Yadkin County,23,1
