county,dhhs_cases,dhhs_deaths

Alamance County,180,8
Alexander County,13,0
Alleghany County,8,0
Anson County,39,0
Ashe County,14,0
Beaufort County,25,0
Bertie County,67,3
Bladen County,60,1
Brunswick County,50,2
Buncombe County,103,4
Burke County,146,11
Cabarrus County,356,18
Caldwell County,63,0
Camden County,2,0
Carteret County,32,3
Caswell County,41,1
Catawba County,83,2
Chatham County,461,11
Cherokee County,18,1
Chowan County,11,0
Clay County,5,0
Cleveland County,50,2
Columbus County,212,16
Craven County,57,4
Cumberland County,368,10
Currituck County,9,0
Dare County,17,1
Davidson County,227,10
Davie County,37,2
Duplin County,266,4
Durham County,887,33
Edgecombe County,156,7
Forsyth County,397,5
Franklin County,114,20
Gaston County,176,5
Gates County,11,0
Graham County,2,0
Granville County,170,6
Greene County,37,1
Guilford County,626,42
Halifax County,94,1
Harnett County,228,15
Haywood County,18,0
Henderson County,237,28
Hertford County,49,1
Hoke County,123,0
Hyde County,1,0
Iredell County,158,5
Jackson County,21,1
Johnston County,214,16
Jones County,19,2
Lee County,278,1
Lenoir County,124,4
Lincoln County,40,0
Macon County,3,1
Madison County,1,0
Martin County,33,2
McDowell County,29,1
Mecklenburg County,"2,148",62
Mitchell County,5,0
Montgomery County,43,2
Moore County,110,9
Nash County,129,3
New Hanover County,104,3
Northampton County,108,9
Onslow County,58,2
Orange County,259,34
Pamlico County,8,0
Pasquotank County,81,5
Pender County,38,1
Perquimans County,19,2
Person County,31,1
Pitt County,178,2
Polk County,29,0
Randolph County,355,6
Richmond County,91,2
Robeson County,417,4
Rockingham County,43,2
Rowan County,487,25
Rutherford County,152,5
Sampson County,170,1
Scotland County,43,0
Stanly County,30,4
Stokes County,14,0
Surry County,45,1
Swain County,5,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,301,16
Vance County,168,15
Wake County,"1,061",23
Warren County,23,0
Washington County,25,3
Watauga County,9,0
Wayne County,755,13
Wilkes County,243,1
Wilson County,216,9
Yadkin County,60,1
Yancey County,8,0
