county,dhhs_cases,dhhs_deaths

Alamance County,223,12
Alexander County,21,0
Alleghany County,12,0
Anson County,49,0
Ashe County,28,0
Avery County,1,0
Beaufort County,30,0
Bertie County,95,3
Bladen County,78,2
Brunswick County,59,2
Buncombe County,182,6
Burke County,206,14
Cabarrus County,389,20
Caldwell County,92,2
Camden County,3,0
Carteret County,35,3
Caswell County,45,1
Catawba County,117,3
Chatham County,541,24
Cherokee County,17,1
Chowan County,14,0
Clay County,5,0
Cleveland County,55,2
Columbus County,251,21
Craven County,133,4
Cumberland County,500,13
Currituck County,11,0
Dare County,18,1
Davidson County,306,11
Davie County,52,2
Duplin County,462,12
Durham County,"1,053",38
Edgecombe County,170,8
Forsyth County,736,7
Franklin County,129,20
Gaston County,208,6
Gates County,14,0
Graham County,2,0
Granville County,202,6
Greene County,50,2
Guilford County,901,48
Halifax County,119,1
Harnett County,252,20
Haywood County,26,0
Henderson County,295,41
Hertford County,59,1
Hoke County,160,0
Hyde County,1,0
Iredell County,199,5
Jackson County,24,1
Johnston County,269,17
Jones County,22,2
Lee County,333,3
Lenoir County,160,5
Lincoln County,50,0
Macon County,5,1
Madison County,2,0
Martin County,37,4
McDowell County,32,1
Mecklenburg County,"2,717",66
Mitchell County,8,0
Montgomery County,65,3
Moore County,119,10
Nash County,156,3
New Hanover County,134,3
Northampton County,131,10
Onslow County,80,2
Orange County,283,37
Pamlico County,9,0
Pasquotank County,87,7
Pender County,50,1
Perquimans County,22,2
Person County,34,1
Pitt County,221,2
Polk County,35,3
Randolph County,469,6
Richmond County,115,2
Robeson County,547,6
Rockingham County,48,2
Rowan County,560,25
Rutherford County,154,5
Sampson County,265,1
Scotland County,55,0
Stanly County,32,4
Stokes County,39,0
Surry County,101,1
Swain County,6,0
Transylvania County,8,0
Tyrrell County,4,0
Union County,360,16
Vance County,197,17
Wake County,"1,272",30
Warren County,33,0
Washington County,26,3
Watauga County,12,0
Wayne County,879,16
Wilkes County,448,1
Wilson County,251,9
Yadkin County,118,1
Yancey County,10,0
