county,dhhs_cases,dhhs_deaths

Alamance County,92,1
Alexander County,4,0
Alleghany County,2,0
Anson County,22,0
Ashe County,4,0
Beaufort County,20,0
Bertie County,38,2
Bladen County,13,0
Brunswick County,43,2
Buncombe County,53,4
Burke County,89,8
Cabarrus County,258,9
Caldwell County,33,0
Camden County,1,0
Carteret County,28,3
Caswell County,18,0
Catawba County,51,1
Chatham County,274,6
Cherokee County,16,1
Chowan County,6,0
Clay County,5,0
Cleveland County,46,2
Columbus County,94,8
Craven County,39,4
Cumberland County,218,7
Currituck County,2,0
Dare County,11,1
Davidson County,166,5
Davie County,29,2
Duplin County,74,0
Durham County,702,16
Edgecombe County,76,3
Forsyth County,179,5
Franklin County,102,18
Gaston County,137,3
Gates County,7,0
Graham County,1,0
Granville County,133,5
Greene County,15,0
Guilford County,318,20
Halifax County,52,1
Harnett County,145,7
Haywood County,6,0
Henderson County,155,16
Hertford County,32,1
Hoke County,67,0
Iredell County,102,5
Jackson County,10,0
Johnston County,140,12
Jones County,12,2
Lee County,127,0
Lenoir County,56,3
Lincoln County,25,0
Macon County,2,1
Madison County,1,0
Martin County,16,0
McDowell County,22,1
Mecklenburg County,"1,519",43
Mitchell County,5,0
Montgomery County,28,1
Moore County,69,2
Nash County,82,1
New Hanover County,74,3
Northampton County,81,4
Onslow County,43,1
Orange County,209,14
Pamlico County,7,0
Pasquotank County,35,1
Pender County,10,0
Perquimans County,12,0
Person County,19,0
Pitt County,115,2
Polk County,17,0
Randolph County,154,3
Richmond County,40,2
Robeson County,106,3
Rockingham County,24,2
Rowan County,353,19
Rutherford County,120,4
Sampson County,44,0
Scotland County,24,0
Stanly County,28,4
Stokes County,11,0
Surry County,12,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,211,9
Vance County,80,4
Wake County,769,15
Warren County,6,0
Washington County,23,2
Watauga County,8,0
Wayne County,641,10
Wilkes County,22,1
Wilson County,152,6
Yadkin County,15,1
