county,dhhs_cases,dhhs_deaths

Alamance County,126,3
Alexander County,5,0
Alleghany County,6,0
Anson County,30,0
Ashe County,5,0
Beaufort County,21,0
Bertie County,51,2
Bladen County,34,0
Brunswick County,50,2
Buncombe County,78,4
Burke County,117,9
Cabarrus County,318,15
Caldwell County,44,0
Camden County,2,0
Carteret County,27,3
Caswell County,34,0
Catawba County,59,1
Chatham County,403,11
Cherokee County,19,1
Chowan County,6,0
Clay County,5,0
Cleveland County,48,2
Columbus County,167,11
Craven County,44,4
Cumberland County,290,8
Currituck County,5,0
Dare County,14,1
Davidson County,183,9
Davie County,31,2
Duplin County,132,2
Durham County,773,23
Edgecombe County,123,5
Forsyth County,287,5
Franklin County,106,19
Gaston County,147,3
Gates County,9,0
Graham County,2,0
Granville County,160,5
Greene County,22,0
Guilford County,464,33
Halifax County,69,1
Harnett County,188,9
Haywood County,15,0
Henderson County,210,21
Hertford County,45,1
Hoke County,101,0
Hyde County,1,0
Iredell County,128,5
Jackson County,18,0
Johnston County,173,16
Jones County,18,2
Lee County,207,1
Lenoir County,90,4
Lincoln County,35,0
Macon County,3,1
Madison County,1,0
Martin County,21,1
McDowell County,28,1
Mecklenburg County,"1,758",53
Mitchell County,5,0
Montgomery County,38,2
Moore County,93,3
Nash County,102,3
New Hanover County,83,3
Northampton County,91,4
Onslow County,51,2
Orange County,230,18
Pamlico County,8,0
Pasquotank County,38,1
Pender County,16,1
Perquimans County,14,2
Person County,23,1
Pitt County,144,2
Polk County,26,0
Randolph County,255,4
Richmond County,61,2
Robeson County,249,3
Rockingham County,30,2
Rowan County,417,24
Rutherford County,145,5
Sampson County,94,1
Scotland County,30,0
Stanly County,29,4
Stokes County,10,0
Surry County,20,1
Swain County,4,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,271,13
Vance County,119,8
Wake County,919,20
Warren County,17,0
Washington County,25,3
Watauga County,8,0
Wayne County,688,12
Wilkes County,128,1
Wilson County,182,7
Yadkin County,25,1
Yancey County,1,0
