county,dhhs_cases,dhhs_deaths

Alamance County,149,3
Alexander County,8,0
Alleghany County,7,0
Anson County,37,0
Ashe County,7,0
Beaufort County,24,0
Bertie County,58,2
Bladen County,50,1
Brunswick County,49,2
Buncombe County,88,4
Burke County,128,11
Cabarrus County,338,17
Caldwell County,52,0
Camden County,2,0
Carteret County,29,3
Caswell County,38,1
Catawba County,67,1
Chatham County,435,11
Cherokee County,18,1
Chowan County,8,0
Clay County,5,0
Cleveland County,50,2
Columbus County,186,13
Craven County,49,4
Cumberland County,342,9
Currituck County,9,0
Dare County,14,1
Davidson County,199,10
Davie County,31,2
Duplin County,180,3
Durham County,829,31
Edgecombe County,139,7
Forsyth County,353,5
Franklin County,111,20
Gaston County,161,4
Gates County,10,0
Graham County,2,0
Granville County,159,5
Greene County,34,0
Guilford County,553,38
Halifax County,82,1
Harnett County,207,12
Haywood County,16,0
Henderson County,218,24
Hertford County,46,1
Hoke County,117,0
Hyde County,1,0
Iredell County,141,5
Jackson County,21,1
Johnston County,191,16
Jones County,18,2
Lee County,238,1
Lenoir County,105,4
Lincoln County,39,0
Macon County,3,1
Madison County,1,0
Martin County,28,1
McDowell County,29,1
Mecklenburg County,"1,989",58
Mitchell County,5,0
Montgomery County,41,2
Moore County,109,9
Nash County,116,3
New Hanover County,95,3
Northampton County,102,7
Onslow County,53,2
Orange County,244,32
Pamlico County,8,0
Pasquotank County,75,3
Pender County,23,1
Perquimans County,14,2
Person County,29,1
Pitt County,160,2
Polk County,31,0
Randolph County,307,5
Richmond County,81,2
Robeson County,327,4
Rockingham County,38,2
Rowan County,467,24
Rutherford County,149,5
Sampson County,136,1
Scotland County,36,0
Stanly County,29,4
Stokes County,11,0
Surry County,30,1
Swain County,5,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,284,15
Vance County,153,11
Wake County,986,22
Warren County,22,0
Washington County,25,3
Watauga County,9,0
Wayne County,715,12
Wilkes County,198,1
Wilson County,199,8
Yadkin County,39,1
Yancey County,7,0
