county,cases,deaths,date
Alamance,1809,40,7/22/2020
Alexander,225,2,7/22/2020
Alleghany,53,0,7/22/2020
Anson,267,1,7/22/2020
Ashe,75,1,7/22/2020
Avery,53,0,7/22/2020
Beaufort,216,0,7/22/2020
Bertie,190,4,7/22/2020
Bladen,509,5,7/22/2020
Brunswick,992,12,7/22/2020
Buncombe,1248,41,7/22/2020
Burke,1360,24,7/22/2020
Cabarrus,2028,35,7/22/2020
Caldwell,835,6,7/22/2020
Camden,48,2,7/22/2020
Carteret,178,4,7/22/2020
Caswell,167,2,7/22/2020
Catawba,1574,15,7/22/2020
Chatham,1124,47,7/22/2020
Cherokee,151,2,7/22/2020
Chowan,72,0,7/22/2020
Clay,39,0,7/22/2020
Cleveland,735,11,7/22/2020
Columbus,714,40,7/22/2020
Craven,528,8,7/22/2020
Cumberland,2101,47,7/22/2020
Currituck,56,0,7/22/2020
Dare,163,1,7/22/2020
Davidson,1457,16,7/22/2020
Davie,284,3,7/22/2020
Duplin,1807,35,7/22/2020
Durham,5220,73,7/22/2020
Edgecombe,473,10,7/22/2020
Forsyth,4343,41,7/22/2020
Franklin,641,23,7/22/2020
Gaston,2432,21,7/22/2020
Gates,34,2,7/22/2020
Graham,15,0,7/22/2020
Granville,1055,25,7/22/2020
Greene,264,3,7/22/2020
Guilford,4412,134,7/22/2020
Halifax,499,4,7/22/2020
Harnett,932,34,7/22/2020
Haywood,192,0,7/22/2020
Henderson,1191,52,7/22/2020
Hertford,219,11,7/22/2020
Hoke,577,7,7/22/2020
Hyde,35,0,7/22/2020
Iredell,1399,13,7/22/2020
Jackson,306,3,7/22/2020
Johnston,2490,41,7/22/2020
Jones,44,3,7/22/2020
Lee,1037,8,7/22/2020
Lenoir,462,11,7/22/2020
Lincoln,589,2,7/22/2020
Macon,397,1,7/22/2020
Madison,25,0,7/22/2020
Martin,191,6,7/22/2020
McDowell,416,3,7/22/2020
Mecklenburg,18075,179,7/22/2020
Mitchell,60,1,7/22/2020
Montgomery,466,11,7/22/2020
Moore,755,18,7/22/2020
Nash,794,10,7/22/2020
New Hanover,1932,14,7/22/2020
Northampton,240,16,7/22/2020
Onslow,618,7,7/22/2020
Orange,1127,45,7/22/2020
Pamlico,46,1,7/22/2020
Pasquotank,278,17,7/22/2020
Pender,518,3,7/22/2020
Perquimans,50,2,7/22/2020
Person,157,1,7/22/2020
Pitt,1293,6,7/22/2020
Polk,121,5,7/22/2020
Randolph,1810,35,7/22/2020
Richmond,418,8,7/22/2020
Robeson,2015,46,7/22/2020
Rockingham,375,3,7/22/2020
Rowan,1778,43,7/22/2020
Rutherford,524,11,7/22/2020
Sampson,1340,8,7/22/2020
Scotland,203,2,7/22/2020
Stanly,708,5,7/22/2020
Stokes,202,1,7/22/2020
Surry,699,4,7/22/2020
Swain,86,2,7/22/2020
Transylvania,98,1,7/22/2020
Tyrrell,80,1,7/22/2020
Union,2287,33,7/22/2020
Vance,650,40,7/22/2020
Wake,9252,99,7/22/2020
Warren,212,6,7/22/2020
Washington,89,3,7/22/2020
Watauga,189,0,7/22/2020
Wayne,2142,35,7/22/2020
Wilkes,672,7,7/22/2020
Wilson,1200,28,7/22/2020
Yadkin,419,6,7/22/2020
Yancey,68,0,7/22/2020
