county,cases,deaths
Alamance,796,34
Alexander,49,0
Alleghany,30,0
Anson,89,1
Ashe,43,1
Avery,6,0
Beaufort,52,0
Bertie,134,4
Bladen,199,2
Brunswick,263,3
Buncombe,461,35
Burke,751,16
Cabarrus,729,25
Caldwell,252,4
Camden,7,0
Carteret,48,3
Caswell,104,1
Catawba,452,10
Chatham,813,39
Cherokee,30,1
Chowan,19,0
Clay,9,0
Cleveland,164,2
Columbus,429,33
Craven,275,5
Cumberland,904,30
Currituck,16,0
Dare,24,1
Davidson,664,15
Davie,144,2
Duplin,1228,20
Durham,2773,56
Edgecombe,254,9
Forsyth,2283,25
Franklin,232,21
Gaston,549,8
Gates,25,2
Graham,6,0
Granville,688,16
Greene,124,2
Guilford,2103,95
Halifax,241,3
Harnett,417,30
Haywood,65,0
Henderson,458,48
Hertford,152,6
Hoke,303,2
Hyde,3,0
Iredell,454,5
Jackson,59,1
Johnston,896,25
Jones,26,3
Lee,604,6
Lenoir,303,10
Lincoln,148,0
Macon,237,1
Madison,5,0
Martin,101,4
McDowell,163,1
Mecklenburg,7468,129
Mitchell,18,0
Montgomery,211,5
Moore,319,11
Nash,294,4
New Hanover,405,5
Northampton,171,15
Onslow,166,3
Orange,479,40
Pamlico,15,0
Pasquotank,131,14
Pender,143,1
Perquimans,30,2
Person,82,1
Pitt,500,2
Polk,55,4
Randolph,947,20
Richmond,215,5
Robeson,978,23
Rockingham,141,2
Rowan,921,37
Rutherford,224,6
Sampson,783,4
Scotland,114,0
Stanly,167,5
Stokes,95,0
Surry,342,2
Swain,38,0
Transylvania,17,1
Tyrrell,5,0
Union,754,22
Vance,417,32
Wake,3163,43
Warren,136,2
Washington,34,3
Watauga,41,0
Wayne,1535,20
Wilkes,547,6
Wilson,524,15
Yadkin,251,4
Yancey,29,0
