county,cases,deaths
Alamance,1179,37
Alexander,101,1
Alleghany,36,0
Anson,138,1
Ashe,54,1
Avery,13,0
Beaufort,93,0
Bertie,146,4
Bladen,384,3
Brunswick,574,6
Buncombe,624,38
Burke,1057,20
Cabarrus,1187,33
Caldwell,452,4
Camden,30,0
Carteret,91,3
Caswell,141,1
Catawba,826,12
Chatham,964,43
Cherokee,45,2
Chowan,25,0
Clay,10,0
Cleveland,324,4
Columbus,543,39
Craven,382,6
Cumberland,1266,41
Currituck,19,0
Dare,59,1
Davidson,1012,15
Davie,206,3
Duplin,1509,27
Durham,3830,63
Edgecombe,326,9
Forsyth,3132,37
Franklin,371,21
Gaston,1168,11
Gates,27,2
Graham,10,0
Granville,814,21
Greene,183,3
Guilford,2946,117
Halifax,314,4
Harnett,667,30
Haywood,91,0
Henderson,667,49
Hertford,166,10
Hoke,388,3
Hyde,12,0
Iredell,817,7
Jackson,125,1
Johnston,1570,32
Jones,35,3
Lee,843,8
Lenoir,375,11
Lincoln,268,1
Macon,289,1
Madison,13,0
Martin,137,4
McDowell,245,2
Mecklenburg,11803,150
Mitchell,34,0
Montgomery,321,7
Moore,500,13
Nash,489,6
New Hanover,982,6
Northampton,185,15
Onslow,324,3
Orange,715,41
Pamlico,22,0
Pasquotank,212,17
Pender,271,2
Perquimans,36,2
Person,107,1
Pitt,732,6
Polk,74,4
Randolph,1234,30
Richmond,296,7
Robeson,1264,39
Rockingham,235,2
Rowan,1251,41
Rutherford,307,9
Sampson,1071,6
Scotland,142,2
Stanly,411,5
Stokes,129,1
Surry,488,2
Swain,58,1
Transylvania,22,1
Tyrrell,11,0
Union,1311,25
Vance,507,37
Wake,5453,49
Warren,160,5
Washington,38,3
Watauga,75,0
Wayne,1847,28
Wilkes,583,6
Wilson,745,20
Yadkin,334,4
Yancey,43,0
