county,cases,deaths,date
Alamance,1607,38,7/17/2020
Alexander,197,1,7/17/2020
Alleghany,50,0,7/17/2020
Anson,240,1,7/17/2020
Ashe,67,1,7/17/2020
Avery,39,0,7/17/2020
Beaufort,185,0,7/17/2020
Bertie,168,4,7/17/2020
Bladen,474,5,7/17/2020
Brunswick,891,11,7/17/2020
Buncombe,1044,40,7/17/2020
Burke,1292,21,7/17/2020
Cabarrus,1828,33,7/17/2020
Caldwell,732,6,7/17/2020
Camden,44,1,7/17/2020
Carteret,168,4,7/17/2020
Caswell,160,2,7/17/2020
Catawba,1404,14,7/17/2020
Chatham,1088,47,7/17/2020
Cherokee,108,2,7/17/2020
Chowan,44,0,7/17/2020
Clay,27,0,7/17/2020
Cleveland,621,10,7/17/2020
Columbus,672,39,7/17/2020
Craven,488,8,7/17/2020
Cumberland,1829,46,7/17/2020
Currituck,39,0,7/17/2020
Dare,126,1,7/17/2020
Davidson,1351,16,7/17/2020
Davie,269,3,7/17/2020
Duplin,1732,33,7/17/2020
Durham,4911,71,7/17/2020
Edgecombe,420,9,7/17/2020
Forsyth,4008,40,7/17/2020
Franklin,560,23,7/17/2020
Gaston,2120,17,7/17/2020
Gates,30,2,7/17/2020
Graham,10,0,7/17/2020
Granville,994,25,7/17/2020
Greene,250,3,7/17/2020
Guilford,3949,132,7/17/2020
Halifax,457,4,7/17/2020
Harnett,844,32,7/17/2020
Haywood,154,0,7/17/2020
Henderson,1034,51,7/17/2020
Hertford,184,11,7/17/2020
Hoke,509,5,7/17/2020
Hyde,33,0,7/17/2020
Iredell,1265,10,7/17/2020
Jackson,252,3,7/17/2020
Johnston,2295,38,7/17/2020
Jones,42,3,7/17/2020
Lee,968,8,7/17/2020
Lenoir,444,11,7/17/2020
Lincoln,521,2,7/17/2020
Macon,368,1,7/17/2020
Madison,20,0,7/17/2020
Martin,177,6,7/17/2020
McDowell,355,3,7/17/2020
Mecklenburg,16657,167,7/17/2020
Mitchell,58,1,7/17/2020
Montgomery,430,10,7/17/2020
Moore,684,14,7/17/2020
Nash,719,6,7/17/2020
New Hanover,1712,9,7/17/2020
Northampton,210,16,7/17/2020
Onslow,507,5,7/17/2020
Orange,1050,45,7/17/2020
Pamlico,40,1,7/17/2020
Pasquotank,262,17,7/17/2020
Pender,446,2,7/17/2020
Perquimans,43,2,7/17/2020
Person,139,1,7/17/2020
Pitt,1079,6,7/17/2020
Polk,105,5,7/17/2020
Randolph,1636,33,7/17/2020
Richmond,391,7,7/17/2020
Robeson,1863,46,7/17/2020
Rockingham,336,2,7/17/2020
Rowan,1651,43,7/17/2020
Rutherford,444,10,7/17/2020
Sampson,1283,8,7/17/2020
Scotland,183,2,7/17/2020
Stanly,621,5,7/17/2020
Stokes,184,1,7/17/2020
Surry,642,3,7/17/2020
Swain,77,1,7/17/2020
Transylvania,68,1,7/17/2020
Tyrrell,63,1,7/17/2020
Union,2091,30,7/17/2020
Vance,604,40,7/17/2020
Wake,8354,86,7/17/2020
Warren,204,6,7/17/2020
Washington,60,3,7/17/2020
Watauga,163,0,7/17/2020
Wayne,2071,34,7/17/2020
Wilkes,651,7,7/17/2020
Wilson,1075,28,7/17/2020
Yadkin,398,5,7/17/2020
Yancey,65,0,7/17/2020
