county,cases,deaths,date
Alamance,1319,37,7/8/2020
Alexander,138,1,7/8/2020
Alleghany,37,0,7/8/2020
Anson,171,1,7/8/2020
Ashe,61,1,7/8/2020
Avery,19,0,7/8/2020
Beaufort,118,0,7/8/2020
Bertie,152,4,7/8/2020
Bladen,411,4,7/8/2020
Brunswick,698,7,7/8/2020
Buncombe,737,29,7/8/2020
Burke,1134,20,7/8/2020
Cabarrus,1424,33,7/8/2020
Caldwell,546,4,7/8/2020
Camden,34,1,7/8/2020
Carteret,111,3,7/8/2020
Caswell,148,2,7/8/2020
Catawba,1066,13,7/8/2020
Chatham,1001,43,7/8/2020
Cherokee,51,2,7/8/2020
Chowan,31,0,7/8/2020
Clay,11,0,7/8/2020
Cleveland,423,6,7/8/2020
Columbus,577,39,7/8/2020
Craven,411,8,7/8/2020
Cumberland,1440,41,7/8/2020
Currituck,22,0,7/8/2020
Dare,81,1,7/8/2020
Davidson,1134,15,7/8/2020
Davie,235,3,7/8/2020
Duplin,1620,28,7/8/2020
Durham,4182,67,7/8/2020
Edgecombe,352,9,7/8/2020
Forsyth,3450,37,7/8/2020
Franklin,413,21,7/8/2020
Gaston,1479,14,7/8/2020
Gates,28,2,7/8/2020
Graham,10,0,7/8/2020
Granville,859,23,7/8/2020
Greene,191,3,7/8/2020
Guilford,3275,118,7/8/2020
Halifax,341,4,7/8/2020
Harnett,721,30,7/8/2020
Haywood,109,0,7/8/2020
Henderson,789,50,7/8/2020
Hertford,174,10,7/8/2020
Hoke,423,3,7/8/2020
Hyde,23,0,7/8/2020
Iredell,956,9,7/8/2020
Jackson,154,1,7/8/2020
Johnston,1825,33,7/8/2020
Jones,37,3,7/8/2020
Lee,888,8,7/8/2020
Lenoir,401,11,7/8/2020
Lincoln,341,1,7/8/2020
Macon,298,1,7/8/2020
Madison,15,0,7/8/2020
Martin,152,5,7/8/2020
McDowell,292,2,7/8/2020
Mecklenburg,13489,158,7/8/2020
Mitchell,52,0,7/8/2020
Montgomery,362,9,7/8/2020
Moore,554,13,7/8/2020
Nash,571,6,7/8/2020
New Hanover,1242,7,7/8/2020
Northampton,189,15,7/8/2020
Onslow,367,3,7/8/2020
Orange,850,42,7/8/2020
Pamlico,28,0,7/8/2020
Pasquotank,233,17,7/8/2020
Pender,314,2,7/8/2020
Perquimans,37,2,7/8/2020
Person,124,1,7/8/2020
Pitt,858,6,7/8/2020
Polk,90,4,7/8/2020
Randolph,1353,31,7/8/2020
Richmond,332,7,7/8/2020
Robeson,1434,43,7/8/2020
Rockingham,274,2,7/8/2020
Rowan,1382,42,7/8/2020
Rutherford,360,9,7/8/2020
Sampson,1128,7,7/8/2020
Scotland,157,2,7/8/2020
Stanly,484,5,7/8/2020
Stokes,148,1,7/8/2020
Surry,535,2,7/8/2020
Swain,68,1,7/8/2020
Transylvania,38,1,7/8/2020
Tyrrell,30,1,7/8/2020
Union,1579,25,7/8/2020
Vance,536,40,7/8/2020
Wake,6471,54,7/8/2020
Warren,175,5,7/8/2020
Washington,43,3,7/8/2020
Watauga,104,0,7/8/2020
Wayne,1935,30,7/8/2020
Wilkes,600,6,7/8/2020
Wilson,837,23,7/8/2020
Yadkin,358,5,7/8/2020
Yancey,50,0,7/8/2020
