county,cases,deaths
Alamance,581,23
Alexander,43,0
Alleghany,30,0
Anson,81,1
Ashe,42,1
Avery,6,0
Beaufort,45,0
Bertie,135,4
Bladen,173,2
Brunswick,183,3
Buncombe,417,34
Burke,656,16
Cabarrus,641,24
Caldwell,228,3
Camden,3,0
Carteret,43,3
Caswell,101,1
Catawba,341,10
Chatham,759,37
Cherokee,26,1
Chowan,19,0
Clay,8,0
Cleveland,134,2
Columbus,388,28
Craven,243,5
Cumberland,828,29
Currituck,15,0
Dare,22,1
Davidson,556,12
Davie,131,2
Duplin,1096,20
Durham,2370,53
Edgecombe,233,9
Forsyth,1967,25
Franklin,202,21
Gaston,406,8
Gates,24,1
Graham,6,0
Granville,624,14
Greene,107,2
Guilford,1853,85
Halifax,224,1
Harnett,363,30
Haywood,63,0
Henderson,398,48
Hertford,140,7
Hoke,291,1
Hyde,2,0
Iredell,378,5
Jackson,55,1
Johnston,698,20
Jones,25,3
Lee,561,4
Lenoir,266,8
Lincoln,113,0
Macon,159,1
Madison,4,0
Martin,82,4
McDowell,121,1
Mecklenburg,6155,116
Mitchell,15,0
Montgomery,172,5
Moore,278,10
Nash,255,4
New Hanover,291,5
Northampton,162,14
Onslow,145,2
Orange,427,40
Pamlico,14,0
Pasquotank,125,14
Pender,122,1
Perquimans,28,2
Person,70,1
Pitt,432,2
Polk,51,4
Randolph,866,17
Richmond,190,4
Robeson,913,14
Rockingham,123,2
Rowan,808,36
Rutherford,197,6
Sampson,642,4
Scotland,102,0
Stanly,130,4
Stokes,90,0
Surry,300,2
Swain,33,0
Transylvania,16,1
Tyrrell,4,0
Union,647,21
Vance,390,30
Wake,2553,41
Warren,118,2
Washington,32,3
Watauga,37,0
Wayne,1403,20
Wilkes,516,6
Wilson,464,13
Yadkin,225,4
Yancey,23,0
