county,cases,deaths
Alamance,1240,37
Alexander,112,1
Alleghany,36,0
Anson,148,1
Ashe,54,1
Avery,14,0
Beaufort,103,0
Bertie,149,4
Bladen,398,3
Brunswick,628,6
Buncombe,646,29
Burke,1099,20
Cabarrus,1313,33
Caldwell,486,4
Camden,31,0
Carteret,101,3
Caswell,144,2
Catawba,907,12
Chatham,984,43
Cherokee,44,2
Chowan,27,0
Clay,12,0
Cleveland,365,4
Columbus,555,39
Craven,387,6
Cumberland,1337,41
Currituck,18,0
Dare,70,1
Davidson,1056,15
Davie,210,3
Duplin,1542,28
Durham,3992,66
Edgecombe,334,9
Forsyth,3233,37
Franklin,377,21
Gaston,1291,11
Gates,27,2
Graham,10,0
Granville,833,21
Greene,182,3
Guilford,3055,117
Halifax,321,4
Harnett,692,30
Haywood,98,0
Henderson,687,49
Hertford,169,10
Hoke,389,3
Hyde,13,0
Iredell,869,7
Jackson,127,1
Johnston,1685,33
Jones,36,3
Lee,858,8
Lenoir,380,11
Lincoln,295,1
Macon,288,1
Madison,14,0
Martin,141,4
McDowell,264,2
Mecklenburg,12576,154
Mitchell,43,0
Montgomery,337,7
Moore,522,13
Nash,514,6
New Hanover,1095,7
Northampton,188,15
Onslow,339,3
Orange,775,42
Pamlico,25,0
Pasquotank,218,17
Pender,296,2
Perquimans,37,2
Person,114,1
Pitt,785,6
Polk,74,4
Randolph,1266,31
Richmond,309,7
Robeson,1321,38
Rockingham,257,2
Rowan,1287,41
Rutherford,324,9
Sampson,1093,6
Scotland,146,2
Stanly,459,5
Stokes,135,1
Surry,497,2
Swain,58,1
Transylvania,26,1
Tyrrell,13,0
Union,1420,25
Vance,523,38
Wake,5810,49
Warren,165,5
Washington,40,3
Watauga,83,0
Wayne,1879,28
Wilkes,588,6
Wilson,757,19
Yadkin,340,5
Yancey,44,0
