county,cases,deaths,date
Alamance,1292,37,7/6/2020
Alexander,124,1,7/6/2020
Alleghany,37,0,7/6/2020
Anson,155,1,7/6/2020
Ashe,60,1,7/6/2020
Avery,18,0,7/6/2020
Beaufort,108,0,7/6/2020
Bertie,151,4,7/6/2020
Bladen,399,3,7/6/2020
Brunswick,662,6,7/6/2020
Buncombe,693,29,7/6/2020
Burke,1110,20,7/6/2020
Cabarrus,1368,33,7/6/2020
Caldwell,522,4,7/6/2020
Camden,31,0,7/6/2020
Carteret,109,3,7/6/2020
Caswell,147,2,7/6/2020
Catawba,980,12,7/6/2020
Chatham,994,43,7/6/2020
Cherokee,45,2,7/6/2020
Chowan,29,0,7/6/2020
Clay,12,0,7/6/2020
Cleveland,398,5,7/6/2020
Columbus,565,39,7/6/2020
Craven,402,6,7/6/2020
Cumberland,1374,41,7/6/2020
Currituck,20,0,7/6/2020
Dare,73,1,7/6/2020
Davidson,1102,15,7/6/2020
Davie,223,3,7/6/2020
Duplin,1579,28,7/6/2020
Durham,4107,67,7/6/2020
Edgecombe,347,9,7/6/2020
Forsyth,3353,37,7/6/2020
Franklin,388,21,7/6/2020
Gaston,1385,12,7/6/2020
Gates,27,2,7/6/2020
Graham,10,0,7/6/2020
Granville,854,21,7/6/2020
Greene,190,3,7/6/2020
Guilford,3149,117,7/6/2020
Halifax,325,4,7/6/2020
Harnett,705,30,7/6/2020
Haywood,106,0,7/6/2020
Henderson,720,49,7/6/2020
Hertford,171,10,7/6/2020
Hoke,407,3,7/6/2020
Hyde,20,0,7/6/2020
Iredell,918,7,7/6/2020
Jackson,141,1,7/6/2020
Johnston,1737,33,7/6/2020
Jones,38,3,7/6/2020
Lee,871,8,7/6/2020
Lenoir,382,11,7/6/2020
Lincoln,323,1,7/6/2020
Macon,291,1,7/6/2020
Madison,17,0,7/6/2020
Martin,145,4,7/6/2020
McDowell,271,2,7/6/2020
Mecklenburg,13111,154,7/6/2020
Mitchell,49,0,7/6/2020
Montgomery,347,7,7/6/2020
Moore,533,13,7/6/2020
Nash,541,6,7/6/2020
New Hanover,1138,7,7/6/2020
Northampton,191,15,7/6/2020
Onslow,353,3,7/6/2020
Orange,839,42,7/6/2020
Pamlico,26,0,7/6/2020
Pasquotank,221,17,7/6/2020
Pender,303,2,7/6/2020
Perquimans,37,2,7/6/2020
Person,120,1,7/6/2020
Pitt,822,6,7/6/2020
Polk,85,4,7/6/2020
Randolph,1316,31,7/6/2020
Richmond,325,7,7/6/2020
Robeson,1338,38,7/6/2020
Rockingham,267,2,7/6/2020
Rowan,1341,41,7/6/2020
Rutherford,337,9,7/6/2020
Sampson,1112,6,7/6/2020
Scotland,151,2,7/6/2020
Stanly,479,5,7/6/2020
Stokes,143,1,7/6/2020
Surry,516,2,7/6/2020
Swain,59,1,7/6/2020
Transylvania,36,1,7/6/2020
Tyrrell,16,0,7/6/2020
Union,1512,25,7/6/2020
Vance,527,38,7/6/2020
Wake,6150,49,7/6/2020
Warren,174,5,7/6/2020
Washington,40,3,7/6/2020
Watauga,99,0,7/6/2020
Wayne,1913,28,7/6/2020
Wilkes,593,6,7/6/2020
Wilson,786,19,7/6/2020
Yadkin,351,5,7/6/2020
Yancey,51,0,7/6/2020
