county,cases,deaths,date
Alamance,2148,41,7/31/2020
Alexander,262,2,7/31/2020
Alleghany,67,0,7/31/2020
Anson,301,2,7/31/2020
Ashe,114,1,7/31/2020
Avery,79,0,7/31/2020
Beaufort,335,2,7/31/2020
Bertie,232,4,7/31/2020
Bladen,563,7,7/31/2020
Brunswick,1165,15,7/31/2020
Buncombe,1605,46,7/31/2020
Burke,1537,25,7/31/2020
Cabarrus,2342,42,7/31/2020
Caldwell,1085,9,7/31/2020
Camden,56,2,7/31/2020
Carteret,284,4,7/31/2020
Caswell,183,2,7/31/2020
Catawba,1859,24,7/31/2020
Chatham,1208,50,7/31/2020
Cherokee,228,3,7/31/2020
Chowan,120,1,7/31/2020
Clay,56,0,7/31/2020
Cleveland,964,14,7/31/2020
Columbus,807,45,7/31/2020
Craven,621,10,7/31/2020
Cumberland,2636,50,7/31/2020
Currituck,70,0,7/31/2020
Dare,189,1,7/31/2020
Davidson,1620,17,7/31/2020
Davie,349,3,7/31/2020
Duplin,1913,42,7/31/2020
Durham,5761,77,7/31/2020
Edgecombe,564,11,7/31/2020
Forsyth,4833,48,7/31/2020
Franklin,762,25,7/31/2020
Gaston,2939,33,7/31/2020
Gates,41,2,7/31/2020
Graham,23,0,7/31/2020
Granville,1144,25,7/31/2020
Greene,297,3,7/31/2020
Guilford,5093,142,7/31/2020
Halifax,610,6,7/31/2020
Harnett,1094,36,7/31/2020
Haywood,276,3,7/31/2020
Henderson,1344,53,7/31/2020
Hertford,273,11,7/31/2020
Hoke,659,8,7/31/2020
Hyde,37,0,7/31/2020
Iredell,1661,16,7/31/2020
Jackson,389,3,7/31/2020
Johnston,2929,43,7/31/2020
Jones,58,3,7/31/2020
Lee,1141,9,7/31/2020
Lenoir,522,11,7/31/2020
Lincoln,721,3,7/31/2020
Macon,439,2,7/31/2020
Madison,38,0,7/31/2020
Martin,236,6,7/31/2020
McDowell,573,8,7/31/2020
Mecklenburg,20502,199,7/31/2020
Mitchell,74,2,7/31/2020
Montgomery,569,13,7/31/2020
Moore,872,20,7/31/2020
Nash,994,10,7/31/2020
New Hanover,2285,19,7/31/2020
Northampton,274,16,7/31/2020
Onslow,890,10,7/31/2020
Orange,1266,45,7/31/2020
Pamlico,54,1,7/31/2020
Pasquotank,346,17,7/31/2020
Pender,610,3,7/31/2020
Perquimans,64,2,7/31/2020
Person,189,2,7/31/2020
Pitt,1699,11,7/31/2020
Polk,132,5,7/31/2020
Randolph,2026,36,7/31/2020
Richmond,475,8,7/31/2020
Robeson,2563,51,7/31/2020
Rockingham,450,3,7/31/2020
Rowan,1957,48,7/31/2020
Rutherford,628,13,7/31/2020
Sampson,1411,12,7/31/2020
Scotland,263,2,7/31/2020
Stanly,866,11,7/31/2020
Stokes,248,3,7/31/2020
Surry,845,7,7/31/2020
Swain,103,2,7/31/2020
Transylvania,121,1,7/31/2020
Tyrrell,90,1,7/31/2020
Union,2720,38,7/31/2020
Vance,721,40,7/31/2020
Wake,10859,128,7/31/2020
Warren,238,6,7/31/2020
Washington,114,3,7/31/2020
Watauga,247,0,7/31/2020
Wayne,2282,37,7/31/2020
Wilkes,723,9,7/31/2020
Wilson,1370,33,7/31/2020
Yadkin,480,6,7/31/2020
Yancey,72,0,7/31/2020
