County,Cases,Deaths
Alamance,838,35
Alexander,56,0
Alleghany,30,0
Anson,91,1
Ashe,44,1
Avery,6,0
Beaufort,55,0
Bertie,135,4
Bladen,220,2
Brunswick,293,3
Buncombe,478,35
Burke,872,16
Cabarrus,773,25
Caldwell,273,4
Camden,9,0
Carteret,49,3
Caswell,110,1
Catawba,485,10
Chatham,841,39
Cherokee,31,1
Chowan,19,0
Clay,9,0
Cleveland,189,2
Columbus,446,33
Craven,283,5
Cumberland,948,30
Currituck,17,0
Dare,27,1
Davidson,691,15
Davie,152,2
Duplin,1257,20
Durham,2912,57
Edgecombe,257,9
Forsyth,2372,27
Franklin,244,21
Gaston,621,9
Gates,25,2
Graham,6,0
Granville,701,17
Greene,132,2
Guilford,2230,98
Halifax,244,2
Harnett,435,30
Haywood,69,0
Henderson,471,48
Hertford,153,6
Hoke,312,2
Hyde,3,0
Iredell,479,6
Jackson,64,1
Johnston,968,26
Jones,26,3
Lee,625,6
Lenoir,316,10
Lincoln,164,0
Macon,235,1
Madison,5,0
Martin,103,4
McDowell,172,1
Mecklenburg,7804,130
Mitchell,23,0
Montgomery,229,5
Moore,335,11
Nash,311,4
NewHanover,449,5
Northampton,174,15
Onslow,180,3
Orange,497,40
Pamlico,15,0
Pasquotank,152,15
Pender,149,1
Perquimans,30,2
Person,86,1
Pitt,507,3
Polk,61,4
Randolph,997,22
Richmond,221,5
Robeson,1027,23
Rockingham,150,2
Rowan,957,38
Rutherford,233,7
Sampson,802,4
Scotland,113,0
Stanly,180,5
Stokes,98,0
Surry,353,2
Swain,38,0
Transylvania,17,1
Tyrrell,5,0
Union,802,22
Vance,434,35
Wake,3385,43
Warren,142,3
Washington,35,3
Watauga,43,0
Wayne,1565,20
Wilkes,551,6
Wilson,545,15
Yadkin,259,4
Yancey,33,0
