county,cases,deaths,date
Alamance,2189,41,8/1/2020
Alexander,265,2,8/1/2020
Alleghany,67,0,8/1/2020
Anson,301,2,8/1/2020
Ashe,119,1,8/1/2020
Avery,81,0,8/1/2020
Beaufort,339,2,8/1/2020
Bertie,245,5,8/1/2020
Bladen,577,7,8/1/2020
Brunswick,1174,15,8/1/2020
Buncombe,1657,46,8/1/2020
Burke,1550,26,8/1/2020
Cabarrus,2375,45,8/1/2020
Caldwell,1103,9,8/1/2020
Camden,62,2,8/1/2020
Carteret,286,4,8/1/2020
Caswell,183,2,8/1/2020
Catawba,1883,24,8/1/2020
Chatham,1220,50,8/1/2020
Cherokee,235,3,8/1/2020
Chowan,126,1,8/1/2020
Clay,58,0,8/1/2020
Cleveland,999,14,8/1/2020
Columbus,821,46,8/1/2020
Craven,626,10,8/1/2020
Cumberland,2694,50,8/1/2020
Currituck,70,0,8/1/2020
Dare,198,1,8/1/2020
Davidson,1635,17,8/1/2020
Davie,361,3,8/1/2020
Duplin,1924,42,8/1/2020
Durham,5830,77,8/1/2020
Edgecombe,574,11,8/1/2020
Forsyth,4883,48,8/1/2020
Franklin,774,25,8/1/2020
Gaston,2994,37,8/1/2020
Gates,43,2,8/1/2020
Graham,26,0,8/1/2020
Granville,1164,25,8/1/2020
Greene,305,3,8/1/2020
Guilford,5167,147,8/1/2020
Halifax,622,6,8/1/2020
Harnett,1123,36,8/1/2020
Haywood,295,6,8/1/2020
Henderson,1358,53,8/1/2020
Hertford,277,11,8/1/2020
Hoke,666,8,8/1/2020
Hyde,37,0,8/1/2020
Iredell,1670,17,8/1/2020
Jackson,395,3,8/1/2020
Johnston,3000,43,8/1/2020
Jones,57,3,8/1/2020
Lee,1178,10,8/1/2020
Lenoir,531,11,8/1/2020
Lincoln,729,3,8/1/2020
Macon,444,2,8/1/2020
Madison,38,0,8/1/2020
Martin,239,6,8/1/2020
McDowell,595,9,8/1/2020
Mecklenburg,20679,210,8/1/2020
Mitchell,75,2,8/1/2020
Montgomery,585,13,8/1/2020
Moore,888,20,8/1/2020
Nash,1014,11,8/1/2020
New Hanover,2322,19,8/1/2020
Northampton,274,16,8/1/2020
Onslow,917,10,8/1/2020
Orange,1278,45,8/1/2020
Pamlico,57,1,8/1/2020
Pasquotank,351,17,8/1/2020
Pender,612,3,8/1/2020
Perquimans,65,2,8/1/2020
Person,191,2,8/1/2020
Pitt,1739,11,8/1/2020
Polk,136,5,8/1/2020
Randolph,2049,36,8/1/2020
Richmond,478,8,8/1/2020
Robeson,2606,51,8/1/2020
Rockingham,461,3,8/1/2020
Rowan,1986,48,8/1/2020
Rutherford,638,13,8/1/2020
Sampson,1417,12,8/1/2020
Scotland,273,2,8/1/2020
Stanly,884,11,8/1/2020
Stokes,256,3,8/1/2020
Surry,860,7,8/1/2020
Swain,103,2,8/1/2020
Transylvania,122,1,8/1/2020
Tyrrell,90,1,8/1/2020
Union,2762,39,8/1/2020
Vance,727,40,8/1/2020
Wake,10969,132,8/1/2020
Warren,239,6,8/1/2020
Washington,118,3,8/1/2020
Watauga,251,0,8/1/2020
Wayne,2299,37,8/1/2020
Wilkes,729,10,8/1/2020
Wilson,1382,34,8/1/2020
Yadkin,486,6,8/1/2020
Yancey,72,0,8/1/2020
