county,cases,deaths
Alamance,810,35
Alexander,51,0
Alleghany,30,0
Anson,91,1
Ashe,43,1
Avery,6,0
Beaufort,53,0
Bertie,135,4
Bladen,214,2
Brunswick,268,3
Buncombe,464,35
Burke,838,16
Cabarrus,746,25
Caldwell,258,4
Camden,7,0
Carteret,47,3
Caswell,106,1
Catawba,465,10
Chatham,821,39
Cherokee,30,1
Chowan,19,0
Clay,9,0
Cleveland,180,2
Columbus,432,33
Craven,280,5
Cumberland,935,30
Currituck,16,0
Dare,27,1
Davidson,678,15
Davie,145,2
Duplin,1231,20
Durham,2841,57
Edgecombe,256,9
Forsyth,2333,26
Franklin,237,21
Gaston,576,9
Gates,24,2
Graham,6,0
Granville,693,16
Greene,128,2
Guilford,2167,98
Halifax,241,2
Harnett,422,30
Haywood,67,0
Henderson,463,48
Hertford,152,6
Hoke,308,2
Hyde,3,0
Iredell,475,6
Jackson,61,1
Johnston,926,25
Jones,26,3
Lee,606,6
Lenoir,305,10
Lincoln,157,0
Macon,236,1
Madison,5,0
Martin,101,4
McDowell,168,1
Mecklenburg,7563,130
Mitchell,19,0
Montgomery,218,5
Moore,320,11
Nash,301,4
New Hanover,414,5
Northampton,171,15
Onslow,178,3
Orange,487,40
Pamlico,15,0
Pasquotank,147,15
Pender,145,1
Perquimans,30,2
Person,83,1
Pitt,502,3
Polk,56,4
Randolph,969,21
Richmond,215,5
Robeson,1019,23
Rockingham,147,2
Rowan,937,38
Rutherford,226,7
Sampson,791,4
Scotland,114,0
Stanly,174,5
Stokes,96,0
Surry,346,2
Swain,38,0
Transylvania,17,1
Tyrrell,5,0
Union,764,22
Vance,421,33
Wake,3241,43
Warren,134,2
Washington,35,3
Watauga,41,0
Wayne,1540,20
Wilkes,550,6
Wilson,527,15
Yadkin,255,4
Yancey,31,0
