county,cases,deaths,date
Alamance,2207,41,8/2/2020
Alexander,270,2,8/2/2020
Alleghany,98,0,8/2/2020
Anson,302,2,8/2/2020
Ashe,119,1,8/2/2020
Avery,83,0,8/2/2020
Beaufort,348,2,8/2/2020
Bertie,247,5,8/2/2020
Bladen,584,7,8/2/2020
Brunswick,1188,17,8/2/2020
Buncombe,1689,46,8/2/2020
Burke,1556,26,8/2/2020
Cabarrus,2406,46,8/2/2020
Caldwell,1121,9,8/2/2020
Camden,63,2,8/2/2020
Carteret,295,4,8/2/2020
Caswell,184,2,8/2/2020
Catawba,1898,24,8/2/2020
Chatham,1234,50,8/2/2020
Cherokee,236,3,8/2/2020
Chowan,138,1,8/2/2020
Clay,58,0,8/2/2020
Cleveland,1019,14,8/2/2020
Columbus,826,46,8/2/2020
Craven,631,10,8/2/2020
Cumberland,2734,50,8/2/2020
Currituck,70,0,8/2/2020
Dare,199,1,8/2/2020
Davidson,1643,17,8/2/2020
Davie,371,3,8/2/2020
Duplin,1937,42,8/2/2020
Durham,5871,77,8/2/2020
Edgecombe,579,11,8/2/2020
Forsyth,4925,48,8/2/2020
Franklin,783,25,8/2/2020
Gaston,3013,37,8/2/2020
Gates,43,2,8/2/2020
Graham,27,0,8/2/2020
Granville,1176,25,8/2/2020
Greene,308,3,8/2/2020
Guilford,5209,147,8/2/2020
Halifax,639,6,8/2/2020
Harnett,1141,36,8/2/2020
Haywood,298,6,8/2/2020
Henderson,1363,53,8/2/2020
Hertford,283,11,8/2/2020
Hoke,670,8,8/2/2020
Hyde,37,0,8/2/2020
Iredell,1691,17,8/2/2020
Jackson,394,3,8/2/2020
Johnston,3057,43,8/2/2020
Jones,59,3,8/2/2020
Lee,1199,10,8/2/2020
Lenoir,535,11,8/2/2020
Lincoln,746,3,8/2/2020
Macon,446,2,8/2/2020
Madison,38,0,8/2/2020
Martin,239,6,8/2/2020
McDowell,604,9,8/2/2020
Mecklenburg,20864,210,8/2/2020
Mitchell,77,2,8/2/2020
Montgomery,587,13,8/2/2020
Moore,890,20,8/2/2020
Nash,1038,11,8/2/2020
New Hanover,2337,19,8/2/2020
Northampton,277,16,8/2/2020
Onslow,930,10,8/2/2020
Orange,1286,45,8/2/2020
Pamlico,58,1,8/2/2020
Pasquotank,351,17,8/2/2020
Pender,619,3,8/2/2020
Perquimans,67,2,8/2/2020
Person,193,2,8/2/2020
Pitt,1766,11,8/2/2020
Polk,137,5,8/2/2020
Randolph,2054,36,8/2/2020
Richmond,478,8,8/2/2020
Robeson,2635,51,8/2/2020
Rockingham,470,3,8/2/2020
Rowan,2007,48,8/2/2020
Rutherford,642,13,8/2/2020
Sampson,1421,12,8/2/2020
Scotland,281,2,8/2/2020
Stanly,897,11,8/2/2020
Stokes,265,3,8/2/2020
Surry,869,7,8/2/2020
Swain,105,2,8/2/2020
Transylvania,127,1,8/2/2020
Tyrrell,90,1,8/2/2020
Union,2802,40,8/2/2020
Vance,731,40,8/2/2020
Wake,11113,133,8/2/2020
Warren,240,6,8/2/2020
Washington,120,3,8/2/2020
Watauga,256,0,8/2/2020
Wayne,2312,37,8/2/2020
Wilkes,734,10,8/2/2020
Wilson,1399,34,8/2/2020
Yadkin,490,6,8/2/2020
Yancey,72,0,8/2/2020
