county,cases,deaths
Alamance,939,35
Alexander,65,0
Alleghany,30,0
Anson,102,1
Ashe,47,1
Avery,8,0
Beaufort,57,0
Bertie,136,4
Bladen,307,2
Brunswick,345,3
Buncombe,501,35
Burke,911,17
Cabarrus,869,25
Caldwell,314,4
Camden,19,0
Carteret,53,3
Caswell,116,1
Catawba,552,10
Chatham,882,39
Cherokee,32,1
Chowan,19,0
Clay,9,0
Cleveland,225,2
Columbus,461,35
Craven,310,6
Cumberland,1008,31
Currituck,16,0
Dare,27,1
Davidson,735,15
Davie,156,2
Duplin,1332,20
Durham,3196,60
Edgecombe,273,9
Forsyth,2524,28
Franklin,280,21
Gaston,737,9
Gates,25,2
Graham,6,0
Granville,735,17
Greene,144,2
Guilford,2402,106
Halifax,265,3
Harnett,499,30
Haywood,70,0
Henderson,497,48
Hertford,156,7
Hoke,326,3
Hyde,6,0
Iredell,540,7
Jackson,71,1
Johnston,1111,26
Jones,28,3
Lee,717,7
Lenoir,342,10
Lincoln,186,0
Macon,252,1
Madison,6,0
Martin,112,4
McDowell,197,1
Mecklenburg,8752,135
Mitchell,25,0
Montgomery,246,6
Moore,370,11
Nash,348,4
New Hanover,557,5
Northampton,175,15
Onslow,211,3
Orange,538,41
Pamlico,15,0
Pasquotank,163,15
Pender,166,1
Perquimans,30,2
Person,92,1
Pitt,561,4
Polk,65,4
Randolph,1054,26
Richmond,233,5
Robeson,1085,25
Rockingham,166,2
Rowan,1019,38
Rutherford,255,7
Sampson,877,5
Scotland,123,0
Stanly,234,5
Stokes,105,1
Surry,382,2
Swain,40,0
Transylvania,19,1
Tyrrell,5,0
Union,920,23
Vance,452,35
Wake,3884,44
Warren,148,4
Washington,37,3
Watauga,47,0
Wayne,1643,23
Wilkes,555,6
Wilson,603,16
Yadkin,280,4
Yancey,35,0
