county,cases,deaths
Alamance,883,35
Alexander,59,0
Alleghany,30,0
Anson,95,1
Ashe,45,1
Avery,8,0
Beaufort,54,0
Bertie,136,4
Bladen,232,2
Brunswick,312,3
Buncombe,484,35
Burke,882,17
Cabarrus,805,25
Caldwell,296,4
Camden,12,0
Carteret,51,3
Caswell,112,1
Catawba,519,10
Chatham,848,39
Cherokee,32,1
Chowan,19,0
Clay,9,0
Cleveland,202,2
Columbus,452,33
Craven,292,5
Cumberland,965,30
Currituck,17,0
Dare,27,1
Davidson,725,15
Davie,154,2
Duplin,1279,20
Durham,2983,60
Edgecombe,262,9
Forsyth,2463,27
Franklin,259,21
Gaston,671,9
Gates,25,2
Graham,6,0
Granville,713,17
Greene,134,2
Guilford,2281,105
Halifax,253,3
Harnett,457,30
Haywood,71,0
Henderson,480,48
Hertford,153,7
Hoke,319,3
Hyde,3,0
Iredell,523,6
Jackson,65,1
Johnston,991,26
Jones,26,3
Lee,634,7
Lenoir,324,10
Lincoln,172,0
Macon,243,1
Madison,5,0
Martin,106,4
McDowell,174,1
Mecklenburg,8166,131
Mitchell,24,0
Montgomery,234,5
Moore,337,11
Nash,323,4
New Hanover,489,5
Northampton,176,15
Onslow,188,3
Orange,506,41
Pamlico,16,0
Pasquotank,153,15
Pender,165,1
Perquimans,30,2
Person,88,1
Pitt,528,3
Polk,63,4
Randolph,1013,23
Richmond,223,5
Robeson,1040,24
Rockingham,157,2
Rowan,978,38
Rutherford,234,7
Sampson,835,4
Scotland,120,0
Stanly,195,5
Stokes,101,0
Surry,370,2
Swain,38,0
Transylvania,18,1
Tyrrell,5,0
Union,852,23
Vance,437,35
Wake,3529,43
Warren,144,4
Washington,35,3
Watauga,43,0
Wayne,1587,21
Wilkes,554,6
Wilson,556,15
Yadkin,269,4
Yancey,35,0
