county,cases,deaths,date
Alamance,2101,41,7/30/2020
Alexander,259,2,7/30/2020
Alleghany,66,0,7/30/2020
Anson,298,2,7/30/2020
Ashe,107,1,7/30/2020
Avery,75,0,7/30/2020
Beaufort,331,2,7/30/2020
Bertie,226,4,7/30/2020
Bladen,563,6,7/30/2020
Brunswick,1150,16,7/30/2020
Buncombe,1576,45,7/30/2020
Burke,1514,25,7/30/2020
Cabarrus,2316,41,7/30/2020
Caldwell,1066,9,7/30/2020
Camden,55,2,7/30/2020
Carteret,279,4,7/30/2020
Caswell,179,2,7/30/2020
Catawba,1829,24,7/30/2020
Chatham,1200,49,7/30/2020
Cherokee,219,3,7/30/2020
Chowan,109,1,7/30/2020
Clay,56,0,7/30/2020
Cleveland,936,13,7/30/2020
Columbus,799,44,7/30/2020
Craven,610,9,7/30/2020
Cumberland,2560,50,7/30/2020
Currituck,70,0,7/30/2020
Dare,188,1,7/30/2020
Davidson,1606,17,7/30/2020
Davie,341,3,7/30/2020
Duplin,1900,42,7/30/2020
Durham,5687,77,7/30/2020
Edgecombe,560,11,7/30/2020
Forsyth,4791,48,7/30/2020
Franklin,747,25,7/30/2020
Gaston,2863,33,7/30/2020
Gates,38,2,7/30/2020
Graham,23,0,7/30/2020
Granville,1138,25,7/30/2020
Greene,287,3,7/30/2020
Guilford,5042,142,7/30/2020
Halifax,595,6,7/30/2020
Harnett,1074,36,7/30/2020
Haywood,268,2,7/30/2020
Henderson,1325,53,7/30/2020
Hertford,265,11,7/30/2020
Hoke,648,8,7/30/2020
Hyde,37,0,7/30/2020
Iredell,1605,16,7/30/2020
Jackson,382,3,7/30/2020
Johnston,2895,43,7/30/2020
Jones,55,3,7/30/2020
Lee,1124,9,7/30/2020
Lenoir,511,11,7/30/2020
Lincoln,710,2,7/30/2020
Macon,439,2,7/30/2020
Madison,36,0,7/30/2020
Martin,235,6,7/30/2020
McDowell,539,8,7/30/2020
Mecklenburg,20261,195,7/30/2020
Mitchell,73,2,7/30/2020
Montgomery,563,13,7/30/2020
Moore,858,20,7/30/2020
Nash,963,10,7/30/2020
New Hanover,2254,18,7/30/2020
Northampton,270,16,7/30/2020
Onslow,820,10,7/30/2020
Orange,1250,45,7/30/2020
Pamlico,51,1,7/30/2020
Pasquotank,336,17,7/30/2020
Pender,597,3,7/30/2020
Perquimans,62,2,7/30/2020
Person,187,2,7/30/2020
Pitt,1639,11,7/30/2020
Polk,131,5,7/30/2020
Randolph,1999,36,7/30/2020
Richmond,468,8,7/30/2020
Robeson,2531,50,7/30/2020
Rockingham,441,3,7/30/2020
Rowan,1940,46,7/30/2020
Rutherford,619,13,7/30/2020
Sampson,1402,11,7/30/2020
Scotland,259,2,7/30/2020
Stanly,848,10,7/30/2020
Stokes,239,3,7/30/2020
Surry,832,7,7/30/2020
Swain,99,2,7/30/2020
Transylvania,116,1,7/30/2020
Tyrrell,89,1,7/30/2020
Union,2671,38,7/30/2020
Vance,710,40,7/30/2020
Wake,10641,126,7/30/2020
Warren,235,6,7/30/2020
Washington,113,3,7/30/2020
Watauga,241,0,7/30/2020
Wayne,2262,37,7/30/2020
Wilkes,721,9,7/30/2020
Wilson,1354,32,7/30/2020
Yadkin,473,6,7/30/2020
Yancey,71,0,7/30/2020
