county,cases,deaths
Alamance,1066,36
Alexander,84,0
Alleghany,31,0
Anson,121,1
Ashe,52,1
Avery,9,0
Beaufort,74,0
Bertie,141,4
Bladen,349,3
Brunswick,459,4
Buncombe,536,36
Burke,1000,19
Cabarrus,1021,27
Caldwell,358,4
Camden,24,0
Carteret,70,3
Caswell,134,1
Catawba,686,10
Chatham,924,42
Cherokee,33,1
Chowan,22,0
Clay,9,0
Cleveland,268,3
Columbus,502,37
Craven,350,6
Cumberland,1101,41
Currituck,18,0
Dare,42,1
Davidson,908,15
Davie,183,3
Duplin,1422,27
Durham,3521,61
Edgecombe,302,9
Forsyth,2871,34
Franklin,326,21
Gaston,972,11
Gates,26,2
Graham,9,0
Granville,779,19
Greene,172,2
Guilford,2690,111
Halifax,291,4
Harnett,598,30
Haywood,86,0
Henderson,558,49
Hertford,160,10
Hoke,352,3
Hyde,9,0
Iredell,707,7
Jackson,91,1
Johnston,1346,29
Jones,32,3
Lee,770,8
Lenoir,358,10
Lincoln,232,1
Macon,266,1
Madison,11,0
Martin,120,4
McDowell,220,1
Mecklenburg,10287,145
Mitchell,27,0
Montgomery,284,7
Moore,421,13
Nash,403,4
New Hanover,750,5
Northampton,179,15
Onslow,249,3
Orange,616,41
Pamlico,18,0
Pasquotank,198,15
Pender,222,1
Perquimans,36,2
Person,103,1
Pitt,650,5
Polk,68,4
Randolph,1137,29
Richmond,256,5
Robeson,1161,38
Rockingham,210,2
Rowan,1137,39
Rutherford,274,7
Sampson,986,6
Scotland,133,0
Stanly,340,5
Stokes,124,1
Surry,444,2
Swain,51,0
Transylvania,20,1
Tyrrell,8,0
Union,1123,23
Vance,492,36
Wake,4675,46
Warren,157,5
Washington,38,3
Watauga,58,0
Wayne,1740,25
Wilkes,567,6
Wilson,674,18
Yadkin,306,4
Yancey,43,0
