county,cases,deaths
Alamance,969,36
Alexander,68,0
Alleghany,30,0
Anson,107,1
Ashe,49,1
Avery,8,0
Beaufort,61,0
Bertie,137,4
Bladen,321,2
Brunswick,367,3
Buncombe,509,36
Burke,918,17
Cabarrus,888,26
Caldwell,322,4
Camden,22,0
Carteret,59,3
Caswell,121,1
Catawba,570,10
Chatham,890,42
Cherokee,32,1
Chowan,19,0
Clay,9,0
Cleveland,239,2
Columbus,471,35
Craven,318,6
Cumberland,1031,36
Currituck,16,0
Dare,27,1
Davidson,772,15
Davie,161,3
Duplin,1355,20
Durham,3244,60
Edgecombe,276,9
Forsyth,2615,29
Franklin,287,21
Gaston,803,11
Gates,25,2
Graham,6,0
Granville,742,17
Greene,151,2
Guilford,2462,106
Halifax,266,4
Harnett,515,30
Haywood,71,0
Henderson,509,48
Hertford,156,8
Hoke,330,3
Hyde,6,0
Iredell,575,7
Jackson,77,1
Johnston,1178,28
Jones,29,3
Lee,716,7
Lenoir,343,10
Lincoln,196,0
Macon,256,1
Madison,7,0
Martin,117,4
McDowell,202,1
Mecklenburg,9086,138
Mitchell,26,0
Montgomery,253,7
Moore,377,11
Nash,357,4
New Hanover,587,5
Northampton,177,15
Onslow,215,3
Orange,546,41
Pamlico,16,0
Pasquotank,168,15
Pender,177,1
Perquimans,30,2
Person,92,1
Pitt,579,4
Polk,67,4
Randolph,1068,27
Richmond,233,5
Robeson,1096,29
Rockingham,173,2
Rowan,1037,38
Rutherford,257,7
Sampson,907,5
Scotland,124,0
Stanly,282,5
Stokes,110,1
Surry,392,2
Swain,40,0
Transylvania,19,1
Tyrrell,5,0
Union,965,23
Vance,462,35
Wake,4106,44
Warren,150,5
Washington,36,3
Watauga,50,0
Wayne,1673,23
Wilkes,557,6
Wilson,615,18
Yadkin,282,4
Yancey,35,0
