county,dhhs_cases,dhhs_deaths

Alamance County,190,9
Alexander County,15,0
Alleghany County,10,0
Anson County,41,0
Ashe County,17,0
Beaufort County,26,0
Bertie County,74,3
Bladen County,66,2
Brunswick County,51,2
Buncombe County,116,4
Burke County,159,14
Cabarrus County,362,18
Caldwell County,71,1
Camden County,2,0
Carteret County,34,3
Caswell County,41,1
Catawba County,90,2
Chatham County,490,11
Cherokee County,18,1
Chowan County,12,0
Clay County,5,0
Cleveland County,53,2
Columbus County,226,17
Craven County,72,4
Cumberland County,413,11
Currituck County,11,0
Dare County,17,1
Davidson County,243,10
Davie County,40,2
Duplin County,305,4
Durham County,924,36
Edgecombe County,161,7
Forsyth County,508,5
Franklin County,121,20
Gaston County,189,5
Gates County,12,0
Graham County,2,0
Granville County,178,6
Greene County,40,1
Guilford County,705,45
Halifax County,100,1
Harnett County,235,15
Haywood County,19,0
Henderson County,257,35
Hertford County,49,1
Hoke County,134,0
Hyde County,1,0
Iredell County,166,5
Jackson County,22,1
Johnston County,228,17
Jones County,21,2
Lee County,293,3
Lenoir County,134,5
Lincoln County,44,0
Macon County,3,1
Madison County,1,0
Martin County,34,4
McDowell County,29,1
Mecklenburg County,"2,320",62
Mitchell County,5,0
Montgomery County,47,3
Moore County,113,10
Nash County,140,3
New Hanover County,116,3
Northampton County,126,9
Onslow County,63,2
Orange County,263,34
Pamlico County,8,0
Pasquotank County,80,5
Pender County,43,1
Perquimans County,20,2
Person County,31,1
Pitt County,185,2
Polk County,32,3
Randolph County,392,6
Richmond County,100,2
Robeson County,448,4
Rockingham County,44,2
Rowan County,507,25
Rutherford County,153,5
Sampson County,203,1
Scotland County,46,0
Stanly County,31,4
Stokes County,20,0
Surry County,62,1
Swain County,5,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,313,16
Vance County,175,16
Wake County,"1,107",27
Warren County,25,0
Washington County,26,3
Watauga County,9,0
Wayne County,775,14
Wilkes County,277,1
Wilson County,218,9
Yadkin County,80,1
Yancey County,8,0
