county,cases,deaths,date
Alamance,1718,39,7/20/2020
Alexander,216,1,7/20/2020
Alleghany,54,0,7/20/2020
Anson,267,1,7/20/2020
Ashe,74,1,7/20/2020
Avery,45,0,7/20/2020
Beaufort,207,0,7/20/2020
Bertie,178,4,7/20/2020
Bladen,487,5,7/20/2020
Brunswick,947,11,7/20/2020
Buncombe,1174,40,7/20/2020
Burke,1325,22,7/20/2020
Cabarrus,1970,34,7/20/2020
Caldwell,789,6,7/20/2020
Camden,46,2,7/20/2020
Carteret,178,4,7/20/2020
Caswell,168,2,7/20/2020
Catawba,1514,15,7/20/2020
Chatham,1109,47,7/20/2020
Cherokee,127,2,7/20/2020
Chowan,61,0,7/20/2020
Clay,33,0,7/20/2020
Cleveland,690,10,7/20/2020
Columbus,710,39,7/20/2020
Craven,514,8,7/20/2020
Cumberland,1935,46,7/20/2020
Currituck,51,0,7/20/2020
Dare,147,1,7/20/2020
Davidson,1421,16,7/20/2020
Davie,278,3,7/20/2020
Duplin,1768,35,7/20/2020
Durham,5110,73,7/20/2020
Edgecombe,454,10,7/20/2020
Forsyth,4220,41,7/20/2020
Franklin,598,23,7/20/2020
Gaston,2320,19,7/20/2020
Gates,32,2,7/20/2020
Graham,10,0,7/20/2020
Granville,1033,25,7/20/2020
Greene,254,3,7/20/2020
Guilford,4198,132,7/20/2020
Halifax,477,4,7/20/2020
Harnett,888,32,7/20/2020
Haywood,185,0,7/20/2020
Henderson,1126,52,7/20/2020
Hertford,200,11,7/20/2020
Hoke,547,5,7/20/2020
Hyde,33,0,7/20/2020
Iredell,1353,11,7/20/2020
Jackson,285,3,7/20/2020
Johnston,2406,38,7/20/2020
Jones,43,3,7/20/2020
Lee,1000,8,7/20/2020
Lenoir,453,11,7/20/2020
Lincoln,562,2,7/20/2020
Macon,382,1,7/20/2020
Madison,24,0,7/20/2020
Martin,186,6,7/20/2020
McDowell,389,3,7/20/2020
Mecklenburg,17571,174,7/20/2020
Mitchell,60,1,7/20/2020
Montgomery,456,10,7/20/2020
Moore,716,14,7/20/2020
Nash,760,6,7/20/2020
New Hanover,1792,11,7/20/2020
Northampton,234,16,7/20/2020
Onslow,564,6,7/20/2020
Orange,1112,45,7/20/2020
Pamlico,43,1,7/20/2020
Pasquotank,267,17,7/20/2020
Pender,484,2,7/20/2020
Perquimans,45,2,7/20/2020
Person,144,1,7/20/2020
Pitt,1215,6,7/20/2020
Polk,114,5,7/20/2020
Randolph,1747,34,7/20/2020
Richmond,403,7,7/20/2020
Robeson,1957,46,7/20/2020
Rockingham,359,3,7/20/2020
Rowan,1712,43,7/20/2020
Rutherford,464,11,7/20/2020
Sampson,1305,8,7/20/2020
Scotland,194,2,7/20/2020
Stanly,662,5,7/20/2020
Stokes,199,1,7/20/2020
Surry,675,4,7/20/2020
Swain,80,2,7/20/2020
Transylvania,90,1,7/20/2020
Tyrrell,66,1,7/20/2020
Union,2215,32,7/20/2020
Vance,637,40,7/20/2020
Wake,8897,89,7/20/2020
Warren,208,6,7/20/2020
Washington,75,3,7/20/2020
Watauga,180,0,7/20/2020
Wayne,2103,34,7/20/2020
Wilkes,663,7,7/20/2020
Wilson,1136,28,7/20/2020
Yadkin,405,6,7/20/2020
Yancey,68,0,7/20/2020
