county,cases,deaths
Alamance,1151,37
Alexander,93,1
Alleghany,32,0
Anson,132,1
Ashe,54,1
Avery,12,0
Beaufort,83,0
Bertie,146,4
Bladen,379,3
Brunswick,546,6
Buncombe,603,38
Burke,1042,20
Cabarrus,1141,33
Caldwell,434,4
Camden,29,0
Carteret,87,3
Caswell,135,1
Catawba,811,12
Chatham,956,43
Cherokee,35,1
Chowan,24,0
Clay,10,0
Cleveland,315,4
Columbus,535,39
Craven,372,6
Cumberland,1218,41
Currituck,19,0
Dare,59,1
Davidson,989,15
Davie,203,3
Duplin,1486,27
Durham,3752,61
Edgecombe,317,9
Forsyth,3077,35
Franklin,357,21
Gaston,1139,11
Gates,27,2
Graham,10,0
Granville,807,21
Greene,175,3
Guilford,2891,115
Halifax,313,4
Harnett,648,30
Haywood,90,0
Henderson,644,49
Hertford,164,10
Hoke,383,3
Hyde,12,0
Iredell,785,7
Jackson,117,1
Johnston,1532,32
Jones,35,3
Lee,841,8
Lenoir,371,11
Lincoln,258,1
Macon,282,1
Madison,14,0
Martin,135,4
McDowell,237,1
Mecklenburg,11534,147
Mitchell,33,0
Montgomery,317,7
Moore,484,13
Nash,478,6
New Hanover,923,5
Northampton,183,15
Onslow,308,3
Orange,690,41
Pamlico,21,0
Pasquotank,210,17
Pender,262,1
Perquimans,36,2
Person,107,1
Pitt,709,6
Polk,73,4
Randolph,1206,30
Richmond,290,7
Robeson,1218,39
Rockingham,234,2
Rowan,1227,41
Rutherford,299,8
Sampson,1060,6
Scotland,138,2
Stanly,394,5
Stokes,129,1
Surry,482,2
Swain,55,1
Transylvania,22,1
Tyrrell,11,0
Union,1261,24
Vance,506,37
Wake,5298,47
Warren,160,5
Washington,38,3
Watauga,70,0
Wayne,1822,28
Wilkes,578,6
Wilson,726,19
Yadkin,334,4
Yancey,43,0
