county,cases,deaths,date
Alamance,2066,41,7/29/2020
Alexander,258,3,7/29/2020
Alleghany,64,0,7/29/2020
Anson,295,2,7/29/2020
Ashe,97,1,7/29/2020
Avery,72,0,7/29/2020
Beaufort,306,1,7/29/2020
Bertie,222,4,7/29/2020
Bladen,549,6,7/29/2020
Brunswick,1116,13,7/29/2020
Buncombe,1538,45,7/29/2020
Burke,1488,25,7/29/2020
Cabarrus,2248,41,7/29/2020
Caldwell,1022,9,7/29/2020
Camden,53,2,7/29/2020
Carteret,272,4,7/29/2020
Caswell,173,2,7/29/2020
Catawba,1801,22,7/29/2020
Chatham,1193,49,7/29/2020
Cherokee,214,3,7/29/2020
Chowan,109,0,7/29/2020
Clay,53,0,7/29/2020
Cleveland,910,13,7/29/2020
Columbus,775,44,7/29/2020
Craven,600,9,7/29/2020
Cumberland,2494,49,7/29/2020
Currituck,69,0,7/29/2020
Dare,186,1,7/29/2020
Davidson,1578,16,7/29/2020
Davie,326,3,7/29/2020
Duplin,1890,42,7/29/2020
Durham,5629,76,7/29/2020
Edgecombe,549,10,7/29/2020
Forsyth,4703,49,7/29/2020
Franklin,731,25,7/29/2020
Gaston,2805,32,7/29/2020
Gates,37,2,7/29/2020
Graham,22,0,7/29/2020
Granville,1125,25,7/29/2020
Greene,284,3,7/29/2020
Guilford,4932,140,7/29/2020
Halifax,585,5,7/29/2020
Harnett,1058,36,7/29/2020
Haywood,255,2,7/29/2020
Henderson,1319,53,7/29/2020
Hertford,248,11,7/29/2020
Hoke,645,7,7/29/2020
Hyde,37,0,7/29/2020
Iredell,1565,16,7/29/2020
Jackson,374,3,7/29/2020
Johnston,2832,43,7/29/2020
Jones,54,3,7/29/2020
Lee,1115,9,7/29/2020
Lenoir,507,11,7/29/2020
Lincoln,692,2,7/29/2020
Macon,435,1,7/29/2020
Madison,34,0,7/29/2020
Martin,215,6,7/29/2020
McDowell,493,5,7/29/2020
Mecklenburg,19924,192,7/29/2020
Mitchell,73,2,7/29/2020
Montgomery,561,13,7/29/2020
Moore,851,20,7/29/2020
Nash,937,10,7/29/2020
New Hanover,2198,18,7/29/2020
Northampton,267,16,7/29/2020
Onslow,773,9,7/29/2020
Orange,1241,45,7/29/2020
Pamlico,51,1,7/29/2020
Pasquotank,314,17,7/29/2020
Pender,582,3,7/29/2020
Perquimans,58,2,7/29/2020
Person,186,1,7/29/2020
Pitt,1579,11,7/29/2020
Polk,127,5,7/29/2020
Randolph,1961,35,7/29/2020
Richmond,467,8,7/29/2020
Robeson,2459,50,7/29/2020
Rockingham,428,3,7/29/2020
Rowan,1913,46,7/29/2020
Rutherford,608,12,7/29/2020
Sampson,1394,10,7/29/2020
Scotland,242,2,7/29/2020
Stanly,827,8,7/29/2020
Stokes,229,3,7/29/2020
Surry,802,7,7/29/2020
Swain,99,2,7/29/2020
Transylvania,111,1,7/29/2020
Tyrrell,89,1,7/29/2020
Union,2611,39,7/29/2020
Vance,703,40,7/29/2020
Wake,10464,116,7/29/2020
Warren,231,6,7/29/2020
Washington,110,3,7/29/2020
Watauga,218,0,7/29/2020
Wayne,2249,36,7/29/2020
Wilkes,713,9,7/29/2020
Wilson,1338,32,7/29/2020
Yadkin,461,6,7/29/2020
Yancey,70,0,7/29/2020
