county,dhhs_cases,dhhs_deaths

Alamance County,215,11
Alexander County,21,0
Alleghany County,12,0
Anson County,48,0
Ashe County,28,0
Beaufort County,30,0
Bertie County,89,3
Bladen County,73,2
Brunswick County,57,2
Buncombe County,176,4
Burke County,198,14
Cabarrus County,379,19
Caldwell County,86,2
Camden County,2,0
Carteret County,35,3
Caswell County,44,1
Catawba County,104,2
Chatham County,512,24
Cherokee County,17,1
Chowan County,15,0
Clay County,5,0
Cleveland County,55,2
Columbus County,242,18
Craven County,127,4
Cumberland County,471,12
Currituck County,11,0
Dare County,18,1
Davidson County,293,10
Davie County,46,2
Duplin County,438,8
Durham County,"1,009",38
Edgecombe County,171,8
Forsyth County,687,7
Franklin County,124,20
Gaston County,203,6
Gates County,14,0
Graham County,2,0
Granville County,201,6
Greene County,51,1
Guilford County,861,47
Halifax County,113,1
Harnett County,247,17
Haywood County,26,0
Henderson County,287,38
Hertford County,53,1
Hoke County,152,0
Hyde County,1,0
Iredell County,192,5
Jackson County,24,1
Johnston County,257,17
Jones County,23,2
Lee County,322,3
Lenoir County,158,5
Lincoln County,48,0
Macon County,5,1
Madison County,2,0
Martin County,36,4
McDowell County,32,1
Mecklenburg County,"2,652",63
Mitchell County,8,0
Montgomery County,57,3
Moore County,117,10
Nash County,153,3
New Hanover County,122,3
Northampton County,130,10
Onslow County,75,2
Orange County,277,36
Pamlico County,9,0
Pasquotank County,87,7
Pender County,49,1
Perquimans County,23,2
Person County,33,1
Pitt County,213,2
Polk County,31,3
Randolph County,461,6
Richmond County,115,2
Robeson County,520,6
Rockingham County,46,2
Rowan County,540,25
Rutherford County,153,5
Sampson County,259,1
Scotland County,53,0
Stanly County,32,4
Stokes County,36,0
Surry County,95,1
Swain County,6,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,354,16
Vance County,195,16
Wake County,"1,239",28
Warren County,29,0
Washington County,26,3
Watauga County,11,0
Wayne County,867,15
Wilkes County,425,1
Wilson County,246,9
Yadkin County,109,1
Yancey County,10,0
