county,dhhs_cases,dhhs_deaths

Alamance County,82,1
Alexander County,4,0
Alleghany County,2,0
Anson County,20,0
Ashe County,4,0
Beaufort County,20,0
Bertie County,37,1
Bladen County,10,0
Brunswick County,39,2
Buncombe County,51,3
Burke County,86,8
Cabarrus County,250,8
Caldwell County,30,0
Carteret County,26,3
Caswell County,16,0
Catawba County,49,1
Chatham County,240,6
Cherokee County,15,1
Chowan County,7,0
Clay County,5,0
Cleveland County,46,2
Columbus County,90,6
Craven County,39,4
Cumberland County,192,6
Currituck County,2,0
Dare County,11,1
Davidson County,156,4
Davie County,29,2
Duplin County,66,0
Durham County,535,10
Edgecombe County,73,1
Forsyth County,150,5
Franklin County,95,14
Gaston County,133,3
Gates County,7,0
Granville County,133,5
Greene County,15,0
Guilford County,299,17
Halifax County,49,1
Harnett County,128,5
Haywood County,5,0
Henderson County,156,14
Hertford County,27,1
Hoke County,49,0
Iredell County,97,3
Jackson County,5,0
Johnston County,135,10
Jones County,11,2
Lee County,104,0
Lenoir County,43,3
Lincoln County,24,0
Macon County,2,1
Madison County,1,0
Martin County,15,0
McDowell County,21,1
Mecklenburg County,"1,482",41
Mitchell County,5,0
Montgomery County,21,1
Moore County,68,2
Nash County,81,1
New Hanover County,72,3
Northampton County,80,3
Onslow County,42,1
Orange County,208,13
Pamlico County,7,0
Pasquotank County,34,1
Pender County,10,0
Perquimans County,10,0
Person County,19,0
Pitt County,111,2
Polk County,12,0
Randolph County,128,3
Richmond County,36,2
Robeson County,97,3
Rockingham County,24,2
Rowan County,346,16
Rutherford County,116,4
Sampson County,39,0
Scotland County,22,0
Stanly County,28,4
Stokes County,11,0
Surry County,12,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,201,8
Vance County,51,3
Wake County,663,13
Warren County,4,0
Washington County,24,2
Watauga County,8,0
Wayne County,630,8
Wilkes County,21,1
Wilson County,148,6
Yadkin County,12,1
