county,cases,deaths,date
Alamance,2496,41,8/11/2020
Alexander,312,2,8/11/2020
Alleghany,169,0,8/11/2020
Anson,332,3,8/11/2020
Ashe,165,1,8/11/2020
Avery,99,0,8/11/2020
Beaufort,410,2,8/11/2020
Bertie,280,5,8/11/2020
Bladen,626,5,8/11/2020
Brunswick,1260,22,8/11/2020
Buncombe,1905,49,8/11/2020
Burke,1677,26,8/11/2020
Cabarrus,2655,50,8/11/2020
Caldwell,1221,11,8/11/2020
Camden,73,2,8/11/2020
Carteret,351,5,8/11/2020
Caswell,196,2,8/11/2020
Catawba,2141,28,8/11/2020
Chatham,1305,55,8/11/2020
Cherokee,277,4,8/11/2020
Chowan,158,2,8/11/2020
Clay,65,0,8/11/2020
Cleveland,1208,22,8/11/2020
Columbus,918,48,8/11/2020
Craven,712,15,8/11/2020
Cumberland,3165,51,8/11/2020
Currituck,73,0,8/11/2020
Dare,210,2,8/11/2020
Davidson,1797,18,8/11/2020
Davie,424,5,8/11/2020
Duplin,2016,48,8/11/2020
Durham,6221,80,8/11/2020
Edgecombe,664,13,8/11/2020
Forsyth,5317,52,8/11/2020
Franklin,872,26,8/11/2020
Gaston,3358,52,8/11/2020
Gates,45,2,8/11/2020
Graham,40,0,8/11/2020
Granville,1260,29,8/11/2020
Greene,332,3,8/11/2020
Guilford,5704,156,8/11/2020
Halifax,715,6,8/11/2020
Harnett,1318,39,8/11/2020
Haywood,438,14,8/11/2020
Henderson,1495,54,8/11/2020
Hertford,353,11,8/11/2020
Hoke,726,11,8/11/2020
Hyde,47,0,8/11/2020
Iredell,1879,17,8/11/2020
Jackson,448,7,8/11/2020
Johnston,3334,45,8/11/2020
Jones,93,4,8/11/2020
Lee,1302,11,8/11/2020
Lenoir,589,11,8/11/2020
Lincoln,858,9,8/11/2020
Macon,465,2,8/11/2020
Madison,45,0,8/11/2020
Martin,260,6,8/11/2020
McDowell,693,14,8/11/2020
Mecklenburg,22462,233,8/11/2020
Mitchell,78,3,8/11/2020
Montgomery,650,13,8/11/2020
Moore,1021,20,8/11/2020
Nash,1209,12,8/11/2020
New Hanover,2578,20,8/11/2020
Northampton,352,16,8/11/2020
Onslow,1108,11,8/11/2020
Orange,1356,48,8/11/2020
Pamlico,73,1,8/11/2020
Pasquotank,423,20,8/11/2020
Pender,666,3,8/11/2020
Perquimans,88,2,8/11/2020
Person,226,2,8/11/2020
Pitt,2054,11,8/11/2020
Polk,162,5,8/11/2020
Randolph,2191,37,8/11/2020
Richmond,516,9,8/11/2020
Robeson,2845,53,8/11/2020
Rockingham,555,3,8/11/2020
Rowan,2220,48,8/11/2020
Rutherford,758,13,8/11/2020
Sampson,1516,15,8/11/2020
Scotland,362,2,8/11/2020
Stanly,1089,26,8/11/2020
Stokes,289,3,8/11/2020
Surry,960,10,8/11/2020
Swain,120,2,8/11/2020
Transylvania,141,1,8/11/2020
Tyrrell,98,1,8/11/2020
Union,3141,43,8/11/2020
Vance,778,41,8/11/2020
Wake,12148,175,8/11/2020
Warren,260,6,8/11/2020
Washington,133,4,8/11/2020
Watauga,294,0,8/11/2020
Wayne,2435,42,8/11/2020
Wilkes,843,12,8/11/2020
Wilson,1502,34,8/11/2020
Yadkin,549,6,8/11/2020
Yancey,76,0,8/11/2020
