county,cases,deaths
Alamance,1114,37
Alexander,87,0
Alleghany,31,0
Anson,126,1
Ashe,52,1
Avery,9,0
Beaufort,80,0
Bertie,145,4
Bladen,366,3
Brunswick,499,5
Buncombe,574,36
Burke,1022,20
Cabarrus,1105,28
Caldwell,411,4
Camden,26,0
Carteret,84,3
Caswell,135,1
Catawba,759,10
Chatham,947,42
Cherokee,33,1
Chowan,24,0
Clay,9,0
Cleveland,283,4
Columbus,517,37
Craven,365,6
Cumberland,1157,41
Currituck,19,0
Dare,48,1
Davidson,936,15
Davie,193,3
Duplin,1460,27
Durham,3624,61
Edgecombe,313,9
Forsyth,2978,34
Franklin,338,21
Gaston,1041,11
Gates,28,2
Graham,9,0
Granville,788,19
Greene,174,2
Guilford,2775,111
Halifax,306,4
Harnett,621,30
Haywood,89,0
Henderson,593,49
Hertford,161,10
Hoke,361,3
Hyde,11,0
Iredell,748,7
Jackson,105,1
Johnston,1431,29
Jones,35,3
Lee,821,8
Lenoir,367,10
Lincoln,246,1
Macon,280,1
Madison,13,0
Martin,128,4
McDowell,226,1
Mecklenburg,10863,146
Mitchell,30,0
Montgomery,305,7
Moore,450,13
Nash,461,4
New Hanover,840,5
Northampton,180,15
Onslow,270,3
Orange,651,41
Pamlico,19,0
Pasquotank,204,15
Pender,243,1
Perquimans,36,2
Person,107,1
Pitt,679,6
Polk,73,4
Randolph,1155,29
Richmond,276,5
Robeson,1178,38
Rockingham,223,2
Rowan,1183,39
Rutherford,291,7
Sampson,1030,6
Scotland,136,0
Stanly,373,5
Stokes,125,1
Surry,464,2
Swain,52,0
Transylvania,22,1
Tyrrell,9,0
Union,1173,23
Vance,501,36
Wake,4952,46
Warren,159,5
Washington,38,3
Watauga,67,0
Wayne,1795,25
Wilkes,576,6
Wilson,696,18
Yadkin,330,4
Yancey,43,0
