county,cases,deaths
Alamance,641,31
Alexander,46,0
Alleghany,30,0
Anson,83,1
Ashe,43,1
Avery,6,0
Beaufort,49,0
Bertie,134,4
Bladen,186,2
Brunswick,190,3
Buncombe,426,34
Burke,669,16
Cabarrus,670,24
Caldwell,238,3
Camden,3,0
Carteret,45,3
Caswell,100,1
Catawba,371,10
Chatham,780,37
Cherokee,30,1
Chowan,19,0
Clay,8,0
Cleveland,143,2
Columbus,404,29
Craven,256,5
Cumberland,855,30
Currituck,15,0
Dare,22,1
Davidson,589,12
Davie,132,2
Duplin,1130,20
Durham,2467,54
Edgecombe,235,9
Forsyth,2051,25
Franklin,209,21
Gaston,452,8
Gates,23,1
Graham,6,0
Granville,646,15
Greene,117,2
Guilford,1899,91
Halifax,229,1
Harnett,381,30
Haywood,63,0
Henderson,414,48
Hertford,143,7
Hoke,296,1
Hyde,2,0
Iredell,404,5
Jackson,59,1
Johnston,756,25
Jones,25,3
Lee,574,4
Lenoir,277,8
Lincoln,118,0
Macon,178,1
Madison,4,0
Martin,88,4
McDowell,129,1
Mecklenburg,6538,118
Mitchell,15,0
Montgomery,185,5
Moore,285,10
Nash,262,4
New Hanover,311,5
Northampton,163,14
Onslow,149,2
Orange,440,40
Pamlico,15,0
Pasquotank,128,14
Pender,123,1
Perquimans,29,2
Person,72,1
Pitt,451,2
Polk,53,4
Randolph,882,18
Richmond,196,4
Robeson,954,14
Rockingham,124,2
Rowan,835,37
Rutherford,205,6
Sampson,702,4
Scotland,104,0
Stanly,144,4
Stokes,91,0
Surry,315,2
Swain,37,0
Transylvania,16,1
Tyrrell,5,0
Union,672,21
Vance,403,31
Wake,2737,41
Warren,125,2
Washington,33,3
Watauga,38,0
Wayne,1448,20
Wilkes,530,6
Wilson,473,13
Yadkin,228,4
Yancey,23,0
