county,cases,deaths,date
Alamance,1492,37,7/14/2020
Alexander,183,1,7/14/2020
Alleghany,43,0,7/14/2020
Anson,214,1,7/14/2020
Ashe,65,1,7/14/2020
Avery,31,0,7/14/2020
Beaufort,157,0,7/14/2020
Bertie,157,4,7/14/2020
Bladen,455,5,7/14/2020
Brunswick,832,10,7/14/2020
Buncombe,928,40,7/14/2020
Burke,1238,21,7/14/2020
Cabarrus,1721,33,7/14/2020
Caldwell,663,6,7/14/2020
Camden,39,1,7/14/2020
Carteret,144,3,7/14/2020
Caswell,156,2,7/14/2020
Catawba,1290,14,7/14/2020
Chatham,1067,46,7/14/2020
Cherokee,88,2,7/14/2020
Chowan,39,0,7/14/2020
Clay,16,0,7/14/2020
Cleveland,544,9,7/14/2020
Columbus,646,39,7/14/2020
Craven,470,8,7/14/2020
Cumberland,1686,43,7/14/2020
Currituck,32,0,7/14/2020
Dare,121,1,7/14/2020
Davidson,1277,16,7/14/2020
Davie,256,3,7/14/2020
Duplin,1696,33,7/14/2020
Durham,4655,71,7/14/2020
Edgecombe,402,9,7/14/2020
Forsyth,3785,40,7/14/2020
Franklin,518,22,7/14/2020
Gaston,1946,15,7/14/2020
Gates,30,2,7/14/2020
Graham,10,0,7/14/2020
Granville,954,25,7/14/2020
Greene,237,3,7/14/2020
Guilford,3760,128,7/14/2020
Halifax,430,4,7/14/2020
Harnett,804,32,7/14/2020
Haywood,138,0,7/14/2020
Henderson,973,51,7/14/2020
Hertford,181,11,7/14/2020
Hoke,480,4,7/14/2020
Hyde,31,0,7/14/2020
Iredell,1173,10,7/14/2020
Jackson,220,1,7/14/2020
Johnston,2150,35,7/14/2020
Jones,39,3,7/14/2020
Lee,947,8,7/14/2020
Lenoir,432,11,7/14/2020
Lincoln,450,2,7/14/2020
Macon,333,1,7/14/2020
Madison,18,0,7/14/2020
Martin,172,6,7/14/2020
McDowell,332,2,7/14/2020
Mecklenburg,15680,163,7/14/2020
Mitchell,57,1,7/14/2020
Montgomery,408,9,7/14/2020
Moore,646,14,7/14/2020
Nash,666,6,7/14/2020
New Hanover,1560,8,7/14/2020
Northampton,200,16,7/14/2020
Onslow,436,3,7/14/2020
Orange,1003,43,7/14/2020
Pamlico,40,1,7/14/2020
Pasquotank,255,17,7/14/2020
Pender,415,2,7/14/2020
Perquimans,38,2,7/14/2020
Person,134,1,7/14/2020
Pitt,978,6,7/14/2020
Polk,101,4,7/14/2020
Randolph,1543,33,7/14/2020
Richmond,373,7,7/14/2020
Robeson,1708,43,7/14/2020
Rockingham,310,2,7/14/2020
Rowan,1547,43,7/14/2020
Rutherford,415,10,7/14/2020
Sampson,1217,7,7/14/2020
Scotland,174,2,7/14/2020
Stanly,585,5,7/14/2020
Stokes,170,1,7/14/2020
Surry,592,3,7/14/2020
Swain,70,1,7/14/2020
Transylvania,58,1,7/14/2020
Tyrrell,58,1,7/14/2020
Union,1909,27,7/14/2020
Vance,589,40,7/14/2020
Wake,7737,76,7/14/2020
Warren,192,6,7/14/2020
Washington,54,3,7/14/2020
Watauga,137,0,7/14/2020
Wayne,2021,32,7/14/2020
Wilkes,632,7,7/14/2020
Wilson,980,26,7/14/2020
Yadkin,389,5,7/14/2020
Yancey,61,0,7/14/2020
