county,dhhs_cases,dhhs_deaths

Alamance County,195,9
Alexander County,15,0
Alleghany County,10,0
Anson County,43,0
Ashe County,17,0
Beaufort County,26,0
Bertie County,76,3
Bladen County,68,2
Brunswick County,51,2
Buncombe County,138,4
Burke County,174,14
Cabarrus County,370,19
Caldwell County,74,1
Camden County,2,0
Carteret County,35,3
Caswell County,43,1
Catawba County,92,2
Chatham County,495,24
Cherokee County,17,1
Chowan County,12,0
Clay County,5,0
Cleveland County,54,2
Columbus County,226,17
Craven County,81,4
Cumberland County,435,11
Currituck County,11,0
Dare County,18,1
Davidson County,255,10
Davie County,43,2
Duplin County,338,7
Durham County,938,36
Edgecombe County,164,7
Forsyth County,568,5
Franklin County,121,20
Gaston County,195,6
Gates County,13,0
Graham County,2,0
Granville County,181,6
Greene County,40,1
Guilford County,725,46
Halifax County,101,1
Harnett County,237,17
Haywood County,21,0
Henderson County,273,36
Hertford County,50,1
Hoke County,140,0
Hyde County,1,0
Iredell County,170,5
Jackson County,22,1
Johnston County,233,17
Jones County,21,2
Lee County,301,3
Lenoir County,139,5
Lincoln County,44,0
Macon County,3,1
Madison County,1,0
Martin County,34,4
McDowell County,29,1
Mecklenburg County,"2,385",62
Mitchell County,5,0
Montgomery County,48,3
Moore County,113,10
Nash County,146,3
New Hanover County,118,3
Northampton County,129,9
Onslow County,67,2
Orange County,266,34
Pamlico County,8,0
Pasquotank County,83,5
Pender County,42,1
Perquimans County,21,2
Person County,32,1
Pitt County,196,2
Polk County,31,3
Randolph County,422,6
Richmond County,104,2
Robeson County,491,6
Rockingham County,44,2
Rowan County,517,25
Rutherford County,151,5
Sampson County,219,1
Scotland County,48,0
Stanly County,31,4
Stokes County,23,0
Surry County,67,1
Swain County,6,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,321,16
Vance County,183,16
Wake County,"1,143",28
Warren County,26,0
Washington County,26,3
Watauga County,9,0
Wayne County,801,15
Wilkes County,287,1
Wilson County,222,9
Yadkin County,92,1
Yancey County,8,0
