county,cases,deaths,date
Alamance,1357,37,7/9/2020
Alexander,140,1,7/9/2020
Alleghany,39,0,7/9/2020
Anson,176,1,7/9/2020
Ashe,61,1,7/9/2020
Avery,21,0,7/9/2020
Beaufort,123,0,7/9/2020
Bertie,154,4,7/9/2020
Bladen,419,5,7/9/2020
Brunswick,727,7,7/9/2020
Buncombe,777,30,7/9/2020
Burke,1144,20,7/9/2020
Cabarrus,1454,33,7/9/2020
Caldwell,563,4,7/9/2020
Camden,34,1,7/9/2020
Carteret,111,3,7/9/2020
Caswell,149,2,7/9/2020
Catawba,1093,13,7/9/2020
Chatham,1009,44,7/9/2020
Cherokee,52,2,7/9/2020
Chowan,31,0,7/9/2020
Clay,11,0,7/9/2020
Cleveland,448,8,7/9/2020
Columbus,585,39,7/9/2020
Craven,426,8,7/9/2020
Cumberland,1490,41,7/9/2020
Currituck,22,0,7/9/2020
Dare,85,1,7/9/2020
Davidson,1175,15,7/9/2020
Davie,236,3,7/9/2020
Duplin,1637,29,7/9/2020
Durham,4260,67,7/9/2020
Edgecombe,363,9,7/9/2020
Forsyth,3525,37,7/9/2020
Franklin,435,21,7/9/2020
Gaston,1547,15,7/9/2020
Gates,29,2,7/9/2020
Graham,10,0,7/9/2020
Granville,877,23,7/9/2020
Greene,196,3,7/9/2020
Guilford,3361,121,7/9/2020
Halifax,346,4,7/9/2020
Harnett,744,30,7/9/2020
Haywood,113,0,7/9/2020
Henderson,820,50,7/9/2020
Hertford,174,10,7/9/2020
Hoke,434,4,7/9/2020
Hyde,25,0,7/9/2020
Iredell,985,10,7/9/2020
Jackson,157,1,7/9/2020
Johnston,1879,34,7/9/2020
Jones,38,3,7/9/2020
Lee,901,8,7/9/2020
Lenoir,406,11,7/9/2020
Lincoln,347,2,7/9/2020
Macon,315,1,7/9/2020
Madison,15,0,7/9/2020
Martin,157,5,7/9/2020
McDowell,299,2,7/9/2020
Mecklenburg,13757,158,7/9/2020
Mitchell,56,0,7/9/2020
Montgomery,368,9,7/9/2020
Moore,594,13,7/9/2020
Nash,586,6,7/9/2020
New Hanover,1304,7,7/9/2020
Northampton,189,15,7/9/2020
Onslow,372,3,7/9/2020
Orange,892,42,7/9/2020
Pamlico,27,0,7/9/2020
Pasquotank,233,17,7/9/2020
Pender,330,2,7/9/2020
Perquimans,37,2,7/9/2020
Person,125,1,7/9/2020
Pitt,876,6,7/9/2020
Polk,92,4,7/9/2020
Randolph,1387,32,7/9/2020
Richmond,345,7,7/9/2020
Robeson,1479,44,7/9/2020
Rockingham,284,2,7/9/2020
Rowan,1426,43,7/9/2020
Rutherford,364,9,7/9/2020
Sampson,1149,7,7/9/2020
Scotland,157,2,7/9/2020
Stanly,531,5,7/9/2020
Stokes,155,1,7/9/2020
Surry,552,2,7/9/2020
Swain,69,1,7/9/2020
Transylvania,38,1,7/9/2020
Tyrrell,31,1,7/9/2020
Union,1643,25,7/9/2020
Vance,548,40,7/9/2020
Wake,6704,57,7/9/2020
Warren,179,5,7/9/2020
Washington,41,3,7/9/2020
Watauga,108,0,7/9/2020
Wayne,1942,30,7/9/2020
Wilkes,602,6,7/9/2020
Wilson,854,23,7/9/2020
Yadkin,364,5,7/9/2020
Yancey,52,0,7/9/2020
