county,cases,deaths
Alamance,1121,37
Alexander,91,1
Alleghany,31,0
Anson,128,1
Ashe,54,1
Avery,12,0
Beaufort,83,0
Bertie,145,4
Bladen,371,3
Brunswick,510,5
Buncombe,591,38
Burke,1033,20
Cabarrus,1107,28
Caldwell,419,4
Camden,28,0
Carteret,87,3
Caswell,135,1
Catawba,780,12
Chatham,950,43
Cherokee,34,1
Chowan,24,0
Clay,10,0
Cleveland,297,4
Columbus,521,38
Craven,365,6
Cumberland,1180,41
Currituck,19,0
Dare,57,1
Davidson,946,15
Davie,199,3
Duplin,1468,27
Durham,3674,61
Edgecombe,315,9
Forsyth,2996,34
Franklin,345,21
Gaston,1083,11
Gates,27,2
Graham,9,0
Granville,798,19
Greene,173,2
Guilford,2812,114
Halifax,311,4
Harnett,630,30
Haywood,90,0
Henderson,610,49
Hertford,162,10
Hoke,371,3
Hyde,11,0
Iredell,764,7
Jackson,113,1
Johnston,1473,29
Jones,35,3
Lee,823,8
Lenoir,368,11
Lincoln,252,1
Macon,282,1
Madison,12,0
Martin,131,4
McDowell,235,1
Mecklenburg,11170,146
Mitchell,32,0
Montgomery,309,7
Moore,458,13
Nash,469,6
New Hanover,897,5
Northampton,181,15
Onslow,284,3
Orange,669,41
Pamlico,21,0
Pasquotank,203,15
Pender,247,1
Perquimans,36,2
Person,106,1
Pitt,696,6
Polk,73,4
Randolph,1174,29
Richmond,278,6
Robeson,1201,38
Rockingham,231,2
Rowan,1205,41
Rutherford,296,7
Sampson,1040,6
Scotland,137,0
Stanly,378,5
Stokes,125,1
Surry,470,2
Swain,51,0
Transylvania,22,1
Tyrrell,10,0
Union,1201,24
Vance,502,36
Wake,5060,46
Warren,161,5
Washington,38,3
Watauga,68,0
Wayne,1802,26
Wilkes,576,6
Wilson,714,18
Yadkin,332,4
Yancey,43,0
