county,cases,deaths,date
Alamance,1569,37,7/16/2020
Alexander,193,1,7/16/2020
Alleghany,46,0,7/16/2020
Anson,234,1,7/16/2020
Ashe,67,1,7/16/2020
Avery,38,0,7/16/2020
Beaufort,171,0,7/16/2020
Bertie,163,4,7/16/2020
Bladen,464,5,7/16/2020
Brunswick,875,11,7/16/2020
Buncombe,992,40,7/16/2020
Burke,1279,21,7/16/2020
Cabarrus,1795,33,7/16/2020
Caldwell,707,6,7/16/2020
Camden,43,1,7/16/2020
Carteret,164,4,7/16/2020
Caswell,158,2,7/16/2020
Catawba,1358,14,7/16/2020
Chatham,1076,46,7/16/2020
Cherokee,105,2,7/16/2020
Chowan,41,0,7/16/2020
Clay,19,0,7/16/2020
Cleveland,593,9,7/16/2020
Columbus,658,39,7/16/2020
Craven,487,8,7/16/2020
Cumberland,1762,43,7/16/2020
Currituck,35,0,7/16/2020
Dare,124,1,7/16/2020
Davidson,1320,16,7/16/2020
Davie,261,3,7/16/2020
Duplin,1728,33,7/16/2020
Durham,4827,71,7/16/2020
Edgecombe,415,9,7/16/2020
Forsyth,3946,40,7/16/2020
Franklin,542,22,7/16/2020
Gaston,2076,17,7/16/2020
Gates,30,2,7/16/2020
Graham,10,0,7/16/2020
Granville,982,25,7/16/2020
Greene,242,3,7/16/2020
Guilford,3877,131,7/16/2020
Halifax,443,4,7/16/2020
Harnett,827,32,7/16/2020
Haywood,149,0,7/16/2020
Henderson,1016,51,7/16/2020
Hertford,184,11,7/16/2020
Hoke,491,4,7/16/2020
Hyde,33,0,7/16/2020
Iredell,1234,10,7/16/2020
Jackson,237,3,7/16/2020
Johnston,2255,38,7/16/2020
Jones,41,3,7/16/2020
Lee,958,8,7/16/2020
Lenoir,439,11,7/16/2020
Lincoln,508,2,7/16/2020
Macon,360,1,7/16/2020
Madison,19,0,7/16/2020
Martin,174,6,7/16/2020
McDowell,347,2,7/16/2020
Mecklenburg,16360,164,7/16/2020
Mitchell,58,1,7/16/2020
Montgomery,420,10,7/16/2020
Moore,668,14,7/16/2020
Nash,702,6,7/16/2020
New Hanover,1652,8,7/16/2020
Northampton,204,16,7/16/2020
Onslow,464,5,7/16/2020
Orange,1035,45,7/16/2020
Pamlico,39,1,7/16/2020
Pasquotank,262,17,7/16/2020
Pender,430,2,7/16/2020
Perquimans,43,2,7/16/2020
Person,136,1,7/16/2020
Pitt,1040,6,7/16/2020
Polk,103,5,7/16/2020
Randolph,1602,33,7/16/2020
Richmond,385,7,7/16/2020
Robeson,1798,46,7/16/2020
Rockingham,328,2,7/16/2020
Rowan,1609,43,7/16/2020
Rutherford,436,10,7/16/2020
Sampson,1260,8,7/16/2020
Scotland,183,2,7/16/2020
Stanly,613,5,7/16/2020
Stokes,183,1,7/16/2020
Surry,628,3,7/16/2020
Swain,77,1,7/16/2020
Transylvania,62,1,7/16/2020
Tyrrell,63,1,7/16/2020
Union,2036,30,7/16/2020
Vance,599,40,7/16/2020
Wake,8157,83,7/16/2020
Warren,200,6,7/16/2020
Washington,57,3,7/16/2020
Watauga,153,0,7/16/2020
Wayne,2055,34,7/16/2020
Wilkes,641,7,7/16/2020
Wilson,1036,27,7/16/2020
Yadkin,395,5,7/16/2020
Yancey,65,0,7/16/2020
