County,Cases,Deaths
Alamance,494,23
Alexander,43,0
Alleghany,29,0
Anson,74,1
Ashe,40,0
Avery,4,0
Beaufort,41,0
Bertie,134,4
Bladen,165,2
Brunswick,149,3
Buncombe,399,33
Burke,567,16
Cabarrus,599,23
Caldwell,204,3
Camden,3,0
Carteret,40,3
Caswell,97,1
Catawba,300,8
Chatham,733,36
Cherokee,22,1
Chowan,17,0
Clay,6,0
Cleveland,121,2
Columbus,373,28
Craven,237,5
Cumberland,781,26
Currituck,15,0
Dare,25,1
Davidson,520,13
Davie,119,2
Duplin,"1,047",19
Durham,"2,180",48
Edgecombe,229,9
Forsyth,"1,816",17
Franklin,190,21
Gaston,366,8
Gates,24,1
Graham,4,0
Granville,513,13
Greene,104,2
Guilford,"1,665",78
Halifax,203,1
Harnett,337,28
Haywood,60,0
Henderson,375,47
Hertford,135,3
Hoke,278,1
Hyde,2,0
Iredell,348,5
Jackson,50,1
Johnston,634,20
Jones,25,3
Lee,534,4
Lenoir,241,7
Lincoln,105,0
Macon,146,1
Madison,3,0
Martin,76,4
McDowell,101,1
Mecklenburg,"5,682",110
Mitchell,14,0
Montgomery,165,4
Moore,257,10
Nash,242,4
New Hanover,263,5
Northampton,156,14
Onslow,134,2
Orange,405,40
Pamlico,13,0
Pasquotank,114,13
Pender,113,1
Perquimans,25,2
Person,61,1
Pitt,397,2
Polk,48,4
Randolph,801,15
Richmond,184,3
Robeson,868,14
Rockingham,116,2
Rowan,771,35
Rutherford,197,5
Sampson,621,4
Scotland,98,0
Stanly,117,4
Stokes,86,0
Surry,279,2
Swain,23,0
Transylvania,16,1
Tyrrell,4,0
Union,592,21
Vance,370,26
Wake,"2,300",40
Warren,93,2
Washington,32,3
Watauga,41,0
Wayne,"1,335",20
Wilkes,511,6
Wilson,445,12
Yadkin,217,3
Yancey,21,0
