county,cases,deaths
Alamance,1274,37
Alexander,118,1
Alleghany,37,0
Anson,149,1
Ashe,57,1
Avery,15,0
Beaufort,104,0
Bertie,151,4
Bladen,399,3
Brunswick,646,6
Buncombe,675,29
Burke,1105,20
Cabarrus,1343,33
Caldwell,504,4
Camden,31,0
Carteret,105,3
Caswell,147,2
Catawba,942,12
Chatham,990,43
Cherokee,44,2
Chowan,27,0
Clay,12,0
Cleveland,375,4
Columbus,556,39
Craven,396,6
Cumberland,1355,41
Currituck,20,0
Dare,72,1
Davidson,1072,15
Davie,215,3
Duplin,1561,28
Durham,4039,67
Edgecombe,334,9
Forsyth,3290,37
Franklin,381,21
Gaston,1325,11
Gates,27,2
Graham,10,0
Granville,844,21
Greene,184,3
Guilford,3094,117
Halifax,323,4
Harnett,698,30
Haywood,98,0
Henderson,703,49
Hertford,170,10
Hoke,403,3
Hyde,17,0
Iredell,890,7
Jackson,138,1
Johnston,1715,33
Jones,36,3
Lee,869,8
Lenoir,380,11
Lincoln,300,1
Macon,289,1
Madison,16,0
Martin,143,4
McDowell,267,2
Mecklenburg,12806,154
Mitchell,44,0
Montgomery,343,7
Moore,530,13
Nash,525,6
New Hanover,1118,7
Northampton,190,15
Onslow,345,3
Orange,813,42
Pamlico,25,0
Pasquotank,220,17
Pender,298,2
Perquimans,37,2
Person,117,1
Pitt,804,6
Polk,79,4
Randolph,1295,31
Richmond,320,7
Robeson,1332,38
Rockingham,261,2
Rowan,1309,41
Rutherford,328,9
Sampson,1100,6
Scotland,149,2
Stanly,468,5
Stokes,139,1
Surry,503,2
Swain,59,1
Transylvania,30,1
Tyrrell,13,0
Union,1452,25
Vance,526,38
Wake,5980,49
Warren,171,5
Washington,41,3
Watauga,93,0
Wayne,1897,28
Wilkes,589,6
Wilson,764,19
Yadkin,341,5
Yancey,49,0
