county,cases,deaths,date
Alamance,2586,42,8/14/2020
Alexander,327,2,8/14/2020
Alleghany,172,0,8/14/2020
Anson,363,3,8/14/2020
Ashe,168,1,8/14/2020
Avery,99,0,8/14/2020
Beaufort,425,2,8/14/2020
Bertie,299,5,8/14/2020
Bladen,640,6,8/14/2020
Brunswick,1293,22,8/14/2020
Buncombe,2001,52,8/14/2020
Burke,1686,27,8/14/2020
Cabarrus,2753,50,8/14/2020
Caldwell,1252,12,8/14/2020
Camden,76,2,8/14/2020
Carteret,369,5,8/14/2020
Caswell,198,2,8/14/2020
Catawba,2216,33,8/14/2020
Chatham,1332,55,8/14/2020
Cherokee,279,4,8/14/2020
Chowan,162,2,8/14/2020
Clay,74,1,8/14/2020
Cleveland,1286,23,8/14/2020
Columbus,961,48,8/14/2020
Craven,758,18,8/14/2020
Cumberland,3324,55,8/14/2020
Currituck,78,0,8/14/2020
Dare,211,2,8/14/2020
Davidson,1849,22,8/14/2020
Davie,431,5,8/14/2020
Duplin,2019,48,8/14/2020
Durham,6330,80,8/14/2020
Edgecombe,709,13,8/14/2020
Forsyth,5477,56,8/14/2020
Franklin,915,26,8/14/2020
Gaston,3495,57,8/14/2020
Gates,49,2,8/14/2020
Graham,46,0,8/14/2020
Granville,1313,29,8/14/2020
Greene,338,3,8/14/2020
Guilford,5858,158,8/14/2020
Halifax,747,7,8/14/2020
Harnett,1367,40,8/14/2020
Haywood,455,19,8/14/2020
Henderson,1526,56,8/14/2020
Hertford,375,11,8/14/2020
Hoke,767,11,8/14/2020
Hyde,51,0,8/14/2020
Iredell,1946,17,8/14/2020
Jackson,460,7,8/14/2020
Johnston,3399,45,8/14/2020
Jones,99,4,8/14/2020
Lee,1323,11,8/14/2020
Lenoir,613,11,8/14/2020
Lincoln,908,10,8/14/2020
Macon,469,2,8/14/2020
Madison,49,1,8/14/2020
Martin,273,6,8/14/2020
McDowell,701,20,8/14/2020
Mecklenburg,22850,253,8/14/2020
Mitchell,80,3,8/14/2020
Montgomery,673,15,8/14/2020
Moore,1062,20,8/14/2020
Nash,1290,12,8/14/2020
New Hanover,2666,21,8/14/2020
Northampton,314,16,8/14/2020
Onslow,1178,12,8/14/2020
Orange,1403,48,8/14/2020
Pamlico,73,1,8/14/2020
Pasquotank,436,20,8/14/2020
Pender,676,3,8/14/2020
Perquimans,92,2,8/14/2020
Person,237,2,8/14/2020
Pitt,2205,14,8/14/2020
Polk,165,6,8/14/2020
Randolph,2225,39,8/14/2020
Richmond,543,9,8/14/2020
Robeson,2952,56,8/14/2020
Rockingham,577,4,8/14/2020
Rowan,2316,50,8/14/2020
Rutherford,799,13,8/14/2020
Sampson,1504,18,8/14/2020
Scotland,395,5,8/14/2020
Stanly,1207,31,8/14/2020
Stokes,295,3,8/14/2020
Surry,984,10,8/14/2020
Swain,119,2,8/14/2020
Transylvania,150,1,8/14/2020
Tyrrell,100,2,8/14/2020
Union,3276,43,8/14/2020
Vance,801,41,8/14/2020
Wake,12508,181,8/14/2020
Warren,266,6,8/14/2020
Washington,137,4,8/14/2020
Watauga,314,0,8/14/2020
Wayne,2485,42,8/14/2020
Wilkes,897,12,8/14/2020
Wilson,1536,36,8/14/2020
Yadkin,561,6,8/14/2020
Yancey,78,0,8/14/2020
