county,cases,deaths
Alamance,519,23
Alexander,43,0
Alleghany,30,0
Anson,78,1
Ashe,41,0
Avery,6,0
Beaufort,43,0
Bertie,134,4
Bladen,163,2
Brunswick,156,3
Buncombe,401,34
Burke,584,16
Cabarrus,612,23
Caldwell,214,3
Camden,3,0
Carteret,40,3
Caswell,97,1
Catawba,310,10
Chatham,745,37
Cherokee,22,1
Chowan,17,0
Clay,8,0
Cleveland,127,2
Columbus,374,28
Craven,238,5
Cumberland,798,26
Currituck,15,0
Dare,23,1
Davidson,529,12
Davie,122,2
Duplin,1062,20
Durham,2227,51
Edgecombe,230,9
Forsyth,1874,18
Franklin,193,21
Gaston,368,8
Gates,24,1
Graham,5,0
Granville,557,13
Greene,106,2
Guilford,1743,81
Halifax,209,1
Harnett,345,30
Haywood,63,0
Henderson,379,47
Hertford,138,6
Hoke,283,1
Hyde,2,0
Iredell,354,5
Jackson,55,1
Johnston,650,20
Jones,25,3
Lee,541,4
Lenoir,254,8
Lincoln,106,0
Macon,157,1
Madison,3,0
Martin,78,4
McDowell,101,1
Mecklenburg,5744,111
Mitchell,13,0
Montgomery,164,5
Moore,259,10
Nash,244,4
New Hanover,269,5
Northampton,158,14
Onslow,136,2
Orange,408,40
Pamlico,13,0
Pasquotank,115,13
Pender,115,1
Perquimans,25,2
Person,63,1
Pitt,404,2
Polk,48,4
Randolph,809,15
Richmond,184,4
Robeson,876,14
Rockingham,115,2
Rowan,773,35
Rutherford,197,6
Sampson,626,4
Scotland,98,0
Stanly,119,4
Stokes,89,0
Surry,292,2
Swain,23,0
Transylvania,16,1
Tyrrell,4,0
Union,599,21
Vance,375,26
Wake,2371,41
Warren,110,2
Washington,32,3
Watauga,39,0
Wayne,1337,20
Wilkes,513,6
Wilson,452,13
Yadkin,221,3
Yancey,21,0
