county,cases,deaths
Alamance,742,33
Alexander,49,0
Alleghany,30,0
Anson,86,1
Ashe,43,1
Avery,6,0
Beaufort,50,0
Bertie,134,4
Bladen,194,2
Brunswick,230,3
Buncombe,449,34
Burke,716,16
Cabarrus,711,24
Caldwell,248,3
Camden,6,0
Carteret,46,3
Caswell,102,1
Catawba,417,10
Chatham,808,37
Cherokee,30,1
Chowan,19,0
Clay,9,0
Cleveland,159,2
Columbus,419,29
Craven,264,5
Cumberland,888,30
Currituck,16,0
Dare,23,1
Davidson,643,13
Davie,139,2
Duplin,1182,20
Durham,2662,56
Edgecombe,253,9
Forsyth,2204,25
Franklin,230,21
Gaston,515,8
Gates,24,1
Graham,6,0
Granville,668,15
Greene,118,2
Guilford,2032,91
Halifax,239,1
Harnett,408,30
Haywood,65,0
Henderson,441,48
Hertford,150,6
Hoke,299,1
Hyde,3,0
Iredell,441,5
Jackson,58,1
Johnston,849,25
Jones,27,3
Lee,590,5
Lenoir,291,8
Lincoln,138,0
Macon,217,1
Madison,5,0
Martin,96,4
McDowell,151,1
Mecklenburg,7131,121
Mitchell,16,0
Montgomery,204,5
Moore,317,10
Nash,282,4
New Hanover,356,5
Northampton,166,14
Onslow,159,3
Orange,474,40
Pamlico,15,0
Pasquotank,131,14
Pender,140,1
Perquimans,29,2
Person,79,1
Pitt,481,2
Polk,55,4
Randolph,921,18
Richmond,209,5
Robeson,966,20
Rockingham,135,2
Rowan,888,37
Rutherford,226,6
Sampson,760,4
Scotland,107,0
Stanly,163,5
Stokes,94,0
Surry,333,2
Swain,39,0
Transylvania,17,1
Tyrrell,5,0
Union,717,21
Vance,417,31
Wake,3011,41
Warren,133,2
Washington,35,3
Watauga,43,0
Wayne,1512,20
Wilkes,542,6
Wilson,507,13
Yadkin,239,4
Yancey,26,0
