county,dhhs_cases,dhhs_deaths

Alamance County,172,5
Alexander County,12,0
Alleghany County,8,0
Anson County,38,0
Ashe County,10,0
Beaufort County,25,0
Bertie County,61,2
Bladen County,52,1
Brunswick County,50,2
Buncombe County,100,4
Burke County,136,11
Cabarrus County,352,17
Caldwell County,60,0
Camden County,2,0
Carteret County,31,3
Caswell County,39,1
Catawba County,79,1
Chatham County,455,11
Cherokee County,18,1
Chowan County,11,0
Clay County,5,0
Cleveland County,50,2
Columbus County,200,14
Craven County,54,4
Cumberland County,348,9
Currituck County,9,0
Dare County,15,1
Davidson County,202,10
Davie County,35,2
Duplin County,242,3
Durham County,865,32
Edgecombe County,153,7
Forsyth County,373,5
Franklin County,111,20
Gaston County,172,5
Gates County,11,0
Graham County,2,0
Granville County,165,6
Greene County,34,1
Guilford County,592,38
Halifax County,91,1
Harnett County,217,13
Haywood County,16,0
Henderson County,226,27
Hertford County,49,1
Hoke County,120,0
Hyde County,1,0
Iredell County,151,5
Jackson County,21,1
Johnston County,205,16
Jones County,18,2
Lee County,268,1
Lenoir County,118,4
Lincoln County,39,0
Macon County,3,1
Madison County,1,0
Martin County,29,1
McDowell County,29,1
Mecklenburg County,"2,074",61
Mitchell County,5,0
Montgomery County,41,2
Moore County,111,9
Nash County,119,3
New Hanover County,97,3
Northampton County,104,7
Onslow County,53,2
Orange County,252,33
Pamlico County,8,0
Pasquotank County,82,3
Pender County,39,1
Perquimans County,17,2
Person County,30,1
Pitt County,165,2
Polk County,29,0
Randolph County,338,6
Richmond County,90,2
Robeson County,388,4
Rockingham County,40,2
Rowan County,483,24
Rutherford County,151,5
Sampson County,156,1
Scotland County,40,0
Stanly County,29,4
Stokes County,11,0
Surry County,41,1
Swain County,5,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,297,16
Vance County,161,12
Wake County,"1,030",23
Warren County,23,0
Washington County,25,3
Watauga County,9,0
Wayne County,743,13
Wilkes County,239,1
Wilson County,212,8
Yadkin County,54,1
Yancey County,9,0
