county,cases,deaths
Alamance,700,32
Alexander,48,0
Alleghany,30,0
Anson,85,1
Ashe,43,1
Avery,6,0
Beaufort,51,0
Bertie,134,4
Bladen,188,2
Brunswick,206,3
Buncombe,439,34
Burke,706,16
Cabarrus,686,24
Caldwell,240,3
Camden,6,0
Carteret,46,3
Caswell,101,1
Catawba,399,10
Chatham,784,37
Cherokee,30,1
Chowan,19,0
Clay,9,0
Cleveland,152,2
Columbus,415,29
Craven,255,5
Cumberland,874,30
Currituck,16,0
Dare,22,1
Davidson,620,13
Davie,134,2
Duplin,1150,20
Durham,2569,55
Edgecombe,244,9
Forsyth,2128,25
Franklin,221,21
Gaston,484,8
Gates,24,1
Graham,6,0
Granville,657,15
Greene,116,2
Guilford,1983,91
Halifax,238,1
Harnett,391,30
Haywood,65,0
Henderson,426,48
Hertford,149,6
Hoke,298,1
Hyde,2,0
Iredell,419,5
Jackson,57,1
Johnston,802,25
Jones,25,3
Lee,581,5
Lenoir,286,8
Lincoln,125,0
Macon,185,1
Madison,5,0
Martin,94,4
McDowell,142,1
Mecklenburg,6862,119
Mitchell,16,0
Montgomery,198,5
Moore,298,10
Nash,277,4
New Hanover,334,5
Northampton,165,14
Onslow,156,3
Orange,453,40
Pamlico,15,0
Pasquotank,131,14
Pender,129,1
Perquimans,29,2
Person,73,1
Pitt,464,2
Polk,55,4
Randolph,908,18
Richmond,201,5
Robeson,956,20
Rockingham,130,2
Rowan,862,37
Rutherford,217,6
Sampson,728,4
Scotland,107,0
Stanly,150,4
Stokes,92,0
Surry,327,2
Swain,39,0
Transylvania,16,1
Tyrrell,5,0
Union,690,21
Vance,408,31
Wake,2892,41
Warren,129,2
Washington,34,3
Watauga,43,0
Wayne,1467,20
Wilkes,542,6
Wilson,496,13
Yadkin,233,4
Yancey,24,0
