county,cases,deaths
Alamance,946,35
Alexander,66,0
Alleghany,30,0
Anson,106,1
Ashe,47,1
Avery,8,0
Beaufort,59,0
Bertie,136,4
Bladen,310,2
Brunswick,356,3
Buncombe,504,35
Burke,912,17
Cabarrus,883,25
Caldwell,315,4
Camden,19,0
Carteret,57,3
Caswell,115,1
Catawba,560,10
Chatham,881,39
Cherokee,32,1
Chowan,19,0
Clay,9,0
Cleveland,227,2
Columbus,464,35
Craven,312,6
Cumberland,1014,31
Currituck,16,0
Dare,27,1
Davidson,759,15
Davie,158,2
Duplin,1345,20
Durham,3209,60
Edgecombe,274,9
Forsyth,2575,28
Franklin,284,21
Gaston,771,9
Gates,25,2
Graham,6,0
Granville,738,17
Greene,147,2
Guilford,2434,106
Halifax,266,3
Harnett,504,30
Haywood,71,0
Henderson,498,48
Hertford,156,7
Hoke,326,3
Hyde,6,0
Iredell,569,7
Jackson,71,1
Johnston,1135,26
Jones,28,3
Lee,718,7
Lenoir,337,10
Lincoln,189,0
Macon,252,1
Madison,6,0
Martin,113,4
McDowell,196,1
Mecklenburg,8956,137
Mitchell,26,0
Montgomery,252,6
Moore,371,11
Nash,352,4
New Hanover,563,5
Northampton,175,15
Onslow,213,3
Orange,548,41
Pamlico,17,0
Pasquotank,164,15
Pender,177,1
Perquimans,30,2
Person,92,1
Pitt,567,4
Polk,65,4
Randolph,1058,27
Richmond,234,5
Robeson,1086,25
Rockingham,170,2
Rowan,1025,38
Rutherford,256,7
Sampson,894,5
Scotland,123,0
Stanly,277,5
Stokes,109,1
Surry,386,2
Swain,40,0
Transylvania,19,1
Tyrrell,5,0
Union,949,23
Vance,453,35
Wake,3984,44
Warren,148,4
Washington,37,3
Watauga,49,0
Wayne,1658,23
Wilkes,555,6
Wilson,610,16
Yadkin,281,4
Yancey,35,0
