county,dhhs_cases,dhhs_deaths

Alamance County,203,9
Alexander County,18,0
Alleghany County,11,0
Anson County,46,0
Ashe County,26,0
Beaufort County,27,0
Bertie County,84,3
Bladen County,70,2
Brunswick County,55,2
Buncombe County,152,4
Burke County,191,14
Cabarrus County,372,19
Caldwell County,78,2
Camden County,2,0
Carteret County,35,3
Caswell County,43,1
Catawba County,96,2
Chatham County,504,24
Cherokee County,17,1
Chowan County,14,0
Clay County,5,0
Cleveland County,54,2
Columbus County,228,18
Craven County,84,4
Cumberland County,463,12
Currituck County,11,0
Dare County,18,1
Davidson County,274,10
Davie County,46,2
Duplin County,368,7
Durham County,974,36
Edgecombe County,167,7
Forsyth County,627,7
Franklin County,121,20
Gaston County,201,6
Gates County,14,0
Graham County,2,0
Granville County,190,6
Greene County,44,1
Guilford County,776,47
Halifax County,106,1
Harnett County,240,17
Haywood County,22,0
Henderson County,279,38
Hertford County,51,1
Hoke County,148,0
Hyde County,1,0
Iredell County,181,5
Jackson County,24,1
Johnston County,234,17
Jones County,21,2
Lee County,308,3
Lenoir County,147,5
Lincoln County,45,0
Macon County,4,1
Madison County,1,0
Martin County,35,4
McDowell County,30,1
Mecklenburg County,"2,504",62
Mitchell County,8,0
Montgomery County,56,3
Moore County,114,10
Nash County,146,3
New Hanover County,120,3
Northampton County,129,10
Onslow County,70,2
Orange County,269,36
Pamlico County,8,0
Pasquotank County,87,5
Pender County,44,1
Perquimans County,23,2
Person County,32,1
Pitt County,202,2
Polk County,31,3
Randolph County,438,6
Richmond County,112,2
Robeson County,509,6
Rockingham County,45,2
Rowan County,525,25
Rutherford County,151,5
Sampson County,232,1
Scotland County,50,0
Stanly County,31,4
Stokes County,26,0
Surry County,75,1
Swain County,6,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,351,16
Vance County,187,16
Wake County,"1,176",28
Warren County,28,0
Washington County,26,3
Watauga County,9,0
Wayne County,819,15
Wilkes County,405,1
Wilson County,229,9
Yadkin County,98,1
Yancey County,8,0
