county,cases,deaths,date
Alamance,1920,40,7/25/2020
Alexander,250,2,7/25/2020
Alleghany,61,0,7/25/2020
Anson,279,2,7/25/2020
Ashe,83,1,7/25/2020
Avery,60,0,7/25/2020
Beaufort,258,1,7/25/2020
Bertie,204,4,7/25/2020
Bladen,523,5,7/25/2020
Brunswick,1037,13,7/25/2020
Buncombe,1400,41,7/25/2020
Burke,1415,24,7/25/2020
Cabarrus,2129,38,7/25/2020
Caldwell,936,7,7/25/2020
Camden,52,2,7/25/2020
Carteret,238,4,7/25/2020
Caswell,172,2,7/25/2020
Catawba,1694,15,7/25/2020
Chatham,1162,49,7/25/2020
Cherokee,183,3,7/25/2020
Chowan,92,0,7/25/2020
Clay,50,0,7/25/2020
Cleveland,809,13,7/25/2020
Columbus,741,42,7/25/2020
Craven,569,8,7/25/2020
Cumberland,2276,49,7/25/2020
Currituck,62,0,7/25/2020
Dare,170,1,7/25/2020
Davidson,1510,16,7/25/2020
Davie,294,3,7/25/2020
Duplin,1846,40,7/25/2020
Durham,5436,76,7/25/2020
Edgecombe,503,10,7/25/2020
Forsyth,4515,41,7/25/2020
Franklin,682,25,7/25/2020
Gaston,2635,24,7/25/2020
Gates,36,2,7/25/2020
Graham,15,0,7/25/2020
Granville,1087,25,7/25/2020
Greene,270,3,7/25/2020
Guilford,4651,139,7/25/2020
Halifax,545,5,7/25/2020
Harnett,987,35,7/25/2020
Haywood,219,0,7/25/2020
Henderson,1265,53,7/25/2020
Hertford,228,11,7/25/2020
Hoke,608,7,7/25/2020
Hyde,35,0,7/25/2020
Iredell,1482,16,7/25/2020
Jackson,348,3,7/25/2020
Johnston,2595,43,7/25/2020
Jones,45,3,7/25/2020
Lee,1055,9,7/25/2020
Lenoir,479,11,7/25/2020
Lincoln,633,2,7/25/2020
Macon,421,1,7/25/2020
Madison,28,0,7/25/2020
Martin,201,6,7/25/2020
McDowell,454,5,7/25/2020
Mecklenburg,19041,183,7/25/2020
Mitchell,68,2,7/25/2020
Montgomery,499,13,7/25/2020
Moore,795,20,7/25/2020
Nash,830,10,7/25/2020
New Hanover,2052,15,7/25/2020
Northampton,252,16,7/25/2020
Onslow,707,9,7/25/2020
Orange,1191,45,7/25/2020
Pamlico,50,1,7/25/2020
Pasquotank,295,17,7/25/2020
Pender,552,3,7/25/2020
Perquimans,54,2,7/25/2020
Person,169,1,7/25/2020
Pitt,1421,10,7/25/2020
Polk,124,5,7/25/2020
Randolph,1904,35,7/25/2020
Richmond,432,8,7/25/2020
Robeson,2175,48,7/25/2020
Rockingham,401,3,7/25/2020
Rowan,1842,45,7/25/2020
Rutherford,537,11,7/25/2020
Sampson,1374,10,7/25/2020
Scotland,225,2,7/25/2020
Stanly,764,6,7/25/2020
Stokes,215,2,7/25/2020
Surry,748,4,7/25/2020
Swain,90,2,7/25/2020
Transylvania,106,1,7/25/2020
Tyrrell,83,1,7/25/2020
Union,2470,35,7/25/2020
Vance,681,40,7/25/2020
Wake,9819,105,7/25/2020
Warren,225,6,7/25/2020
Washington,97,3,7/25/2020
Watauga,203,0,7/25/2020
Wayne,2195,36,7/25/2020
Wilkes,694,9,7/25/2020
Wilson,1272,28,7/25/2020
Yadkin,439,6,7/25/2020
Yancey,68,0,7/25/2020
