county,cases,deaths,date
Alamance,2526,41,8/12/2020
Alexander,314,2,8/12/2020
Alleghany,170,0,8/12/2020
Anson,339,3,8/12/2020
Ashe,166,1,8/12/2020
Avery,93,0,8/12/2020
Beaufort,416,2,8/12/2020
Bertie,287,5,8/12/2020
Bladen,627,5,8/12/2020
Brunswick,1273,22,8/12/2020
Buncombe,1929,50,8/12/2020
Burke,1676,26,8/12/2020
Cabarrus,2681,50,8/12/2020
Caldwell,1234,11,8/12/2020
Camden,75,2,8/12/2020
Carteret,352,5,8/12/2020
Caswell,196,2,8/12/2020
Catawba,2180,28,8/12/2020
Chatham,1308,55,8/12/2020
Cherokee,270,4,8/12/2020
Chowan,158,2,8/12/2020
Clay,70,0,8/12/2020
Cleveland,1217,22,8/12/2020
Columbus,931,48,8/12/2020
Craven,726,15,8/12/2020
Cumberland,3212,54,8/12/2020
Currituck,77,0,8/12/2020
Dare,210,2,8/12/2020
Davidson,1817,18,8/12/2020
Davie,426,5,8/12/2020
Duplin,2011,48,8/12/2020
Durham,6231,80,8/12/2020
Edgecombe,672,13,8/12/2020
Forsyth,5381,53,8/12/2020
Franklin,891,26,8/12/2020
Gaston,3392,55,8/12/2020
Gates,47,2,8/12/2020
Graham,43,0,8/12/2020
Granville,1278,29,8/12/2020
Greene,333,3,8/12/2020
Guilford,5753,156,8/12/2020
Halifax,721,6,8/12/2020
Harnett,1337,40,8/12/2020
Haywood,441,15,8/12/2020
Henderson,1505,55,8/12/2020
Hertford,358,11,8/12/2020
Hoke,738,11,8/12/2020
Hyde,46,0,8/12/2020
Iredell,1898,17,8/12/2020
Jackson,453,7,8/12/2020
Johnston,3357,45,8/12/2020
Jones,95,4,8/12/2020
Lee,1306,11,8/12/2020
Lenoir,593,11,8/12/2020
Lincoln,869,10,8/12/2020
Macon,467,2,8/12/2020
Madison,49,0,8/12/2020
Martin,263,6,8/12/2020
McDowell,690,16,8/12/2020
Mecklenburg,22612,243,8/12/2020
Mitchell,80,3,8/12/2020
Montgomery,656,14,8/12/2020
Moore,1031,20,8/12/2020
Nash,1220,12,8/12/2020
New Hanover,2617,20,8/12/2020
Northampton,309,16,8/12/2020
Onslow,1138,11,8/12/2020
Orange,1361,48,8/12/2020
Pamlico,73,1,8/12/2020
Pasquotank,423,20,8/12/2020
Pender,669,3,8/12/2020
Perquimans,88,2,8/12/2020
Person,228,2,8/12/2020
Pitt,2105,11,8/12/2020
Polk,163,6,8/12/2020
Randolph,2199,38,8/12/2020
Richmond,524,9,8/12/2020
Robeson,2854,55,8/12/2020
Rockingham,563,4,8/12/2020
Rowan,2248,49,8/12/2020
Rutherford,773,13,8/12/2020
Sampson,1495,18,8/12/2020
Scotland,374,5,8/12/2020
Stanly,1103,31,8/12/2020
Stokes,289,3,8/12/2020
Surry,967,10,8/12/2020
Swain,121,2,8/12/2020
Transylvania,142,1,8/12/2020
Tyrrell,98,1,8/12/2020
Union,3170,43,8/12/2020
Vance,787,41,8/12/2020
Wake,12263,178,8/12/2020
Warren,261,6,8/12/2020
Washington,136,4,8/12/2020
Watauga,301,0,8/12/2020
Wayne,2445,42,8/12/2020
Wilkes,852,12,8/12/2020
Wilson,1514,34,8/12/2020
Yadkin,557,6,8/12/2020
Yancey,78,0,8/12/2020
