county,cases,deaths
Alamance,1207,37
Alexander,105,1
Alleghany,36,0
Anson,142,1
Ashe,54,1
Avery,13,0
Beaufort,100,0
Bertie,146,4
Bladen,397,3
Brunswick,603,6
Buncombe,625,29
Burke,1074,20
Cabarrus,1237,33
Caldwell,469,4
Camden,31,0
Carteret,100,3
Caswell,142,2
Catawba,887,12
Chatham,975,43
Cherokee,45,2
Chowan,26,0
Clay,12,0
Cleveland,349,4
Columbus,553,39
Craven,391,6
Cumberland,1311,41
Currituck,20,0
Dare,64,1
Davidson,1035,15
Davie,208,3
Duplin,1533,27
Durham,3940,65
Edgecombe,329,9
Forsyth,3185,37
Franklin,376,21
Gaston,1250,11
Gates,27,2
Graham,10,0
Granville,825,21
Greene,182,3
Guilford,3000,118
Halifax,319,4
Harnett,682,30
Haywood,92,0
Henderson,675,49
Hertford,168,10
Hoke,391,3
Hyde,13,0
Iredell,873,7
Jackson,126,1
Johnston,1641,33
Jones,36,3
Lee,856,8
Lenoir,379,11
Lincoln,283,1
Macon,288,1
Madison,14,0
Martin,140,4
McDowell,259,2
Mecklenburg,12233,151
Mitchell,40,0
Montgomery,334,7
Moore,506,13
Nash,502,6
New Hanover,1063,7
Northampton,186,15
Onslow,334,3
Orange,745,42
Pamlico,23,0
Pasquotank,217,17
Pender,291,2
Perquimans,37,2
Person,112,1
Pitt,758,6
Polk,74,4
Randolph,1251,31
Richmond,306,7
Robeson,1320,39
Rockingham,238,2
Rowan,1284,41
Rutherford,317,9
Sampson,1084,6
Scotland,144,2
Stanly,437,5
Stokes,133,1
Surry,496,2
Swain,59,1
Transylvania,25,1
Tyrrell,12,0
Union,1382,25
Vance,521,38
Wake,5651,49
Warren,161,5
Washington,40,3
Watauga,77,0
Wayne,1864,28
Wilkes,586,6
Wilson,767,20
Yadkin,338,4
Yancey,44,0
