county,cases,deaths,date
Alamance,2639,42,8/16/2020
Alexander,338,2,8/16/2020
Alleghany,179,0,8/16/2020
Anson,374,3,8/16/2020
Ashe,174,1,8/16/2020
Avery,107,0,8/16/2020
Beaufort,448,2,8/16/2020
Bertie,317,5,8/16/2020
Bladen,652,7,8/16/2020
Brunswick,1310,22,8/16/2020
Buncombe,2079,54,8/16/2020
Burke,1710,27,8/16/2020
Cabarrus,2803,50,8/16/2020
Caldwell,1277,13,8/16/2020
Camden,76,2,8/16/2020
Carteret,377,5,8/16/2020
Caswell,201,2,8/16/2020
Catawba,2265,33,8/16/2020
Chatham,1353,55,8/16/2020
Cherokee,294,4,8/16/2020
Chowan,166,2,8/16/2020
Clay,76,1,8/16/2020
Cleveland,1322,24,8/16/2020
Columbus,973,48,8/16/2020
Craven,784,18,8/16/2020
Cumberland,3425,56,8/16/2020
Currituck,83,0,8/16/2020
Dare,212,2,8/16/2020
Davidson,1879,23,8/16/2020
Davie,437,5,8/16/2020
Duplin,2027,49,8/16/2020
Durham,6409,80,8/16/2020
Edgecombe,736,13,8/16/2020
Forsyth,5552,56,8/16/2020
Franklin,929,26,8/16/2020
Gaston,3570,57,8/16/2020
Gates,55,2,8/16/2020
Graham,46,0,8/16/2020
Granville,1353,29,8/16/2020
Greene,342,3,8/16/2020
Guilford,5959,158,8/16/2020
Halifax,754,8,8/16/2020
Harnett,1412,40,8/16/2020
Haywood,460,24,8/16/2020
Henderson,1558,56,8/16/2020
Hertford,401,11,8/16/2020
Hoke,780,11,8/16/2020
Hyde,57,0,8/16/2020
Iredell,2010,17,8/16/2020
Jackson,460,7,8/16/2020
Johnston,3435,45,8/16/2020
Jones,113,4,8/16/2020
Lee,1335,11,8/16/2020
Lenoir,642,11,8/16/2020
Lincoln,930,10,8/16/2020
Macon,478,2,8/16/2020
Madison,49,1,8/16/2020
Martin,282,6,8/16/2020
McDowell,713,20,8/16/2020
Mecklenburg,23110,257,8/16/2020
Mitchell,80,3,8/16/2020
Montgomery,701,16,8/16/2020
Moore,1093,20,8/16/2020
Nash,1333,14,8/16/2020
New Hanover,2704,21,8/16/2020
Northampton,319,16,8/16/2020
Onslow,1200,12,8/16/2020
Orange,1447,48,8/16/2020
Pamlico,74,1,8/16/2020
Pasquotank,447,20,8/16/2020
Pender,696,3,8/16/2020
Perquimans,93,2,8/16/2020
Person,247,2,8/16/2020
Pitt,2278,14,8/16/2020
Polk,177,6,8/16/2020
Randolph,2250,39,8/16/2020
Richmond,562,9,8/16/2020
Robeson,3023,56,8/16/2020
Rockingham,592,6,8/16/2020
Rowan,2359,51,8/16/2020
Rutherford,820,14,8/16/2020
Sampson,1513,19,8/16/2020
Scotland,432,5,8/16/2020
Stanly,1235,31,8/16/2020
Stokes,304,3,8/16/2020
Surry,1005,10,8/16/2020
Swain,120,2,8/16/2020
Transylvania,161,1,8/16/2020
Tyrrell,101,2,8/16/2020
Union,3375,44,8/16/2020
Vance,816,41,8/16/2020
Wake,12714,182,8/16/2020
Warren,271,6,8/16/2020
Washington,142,4,8/16/2020
Watauga,339,0,8/16/2020
Wayne,2527,42,8/16/2020
Wilkes,910,18,8/16/2020
Wilson,1562,36,8/16/2020
Yadkin,563,6,8/16/2020
Yancey,80,0,8/16/2020
