county,cases,deaths,date
Alamance,1428,37,7/12/2020
Alexander,163,1,7/12/2020
Alleghany,41,0,7/12/2020
Anson,194,1,7/12/2020
Ashe,63,1,7/12/2020
Avery,26,0,7/12/2020
Beaufort,148,0,7/12/2020
Bertie,156,4,7/12/2020
Bladen,438,5,7/12/2020
Brunswick,781,8,7/12/2020
Buncombe,865,31,7/12/2020
Burke,1206,21,7/12/2020
Cabarrus,1640,33,7/12/2020
Caldwell,619,6,7/12/2020
Camden,35,1,7/12/2020
Carteret,130,3,7/12/2020
Caswell,150,2,7/12/2020
Catawba,1184,14,7/12/2020
Chatham,1052,45,7/12/2020
Cherokee,66,2,7/12/2020
Chowan,37,0,7/12/2020
Clay,13,0,7/12/2020
Cleveland,519,8,7/12/2020
Columbus,615,39,7/12/2020
Craven,443,8,7/12/2020
Cumberland,1613,41,7/12/2020
Currituck,24,0,7/12/2020
Dare,112,1,7/12/2020
Davidson,1247,15,7/12/2020
Davie,252,3,7/12/2020
Duplin,1667,33,7/12/2020
Durham,4499,68,7/12/2020
Edgecombe,379,9,7/12/2020
Forsyth,3675,40,7/12/2020
Franklin,480,21,7/12/2020
Gaston,1811,15,7/12/2020
Gates,29,2,7/12/2020
Graham,10,0,7/12/2020
Granville,938,24,7/12/2020
Greene,213,3,7/12/2020
Guilford,3604,123,7/12/2020
Halifax,425,4,7/12/2020
Harnett,784,32,7/12/2020
Haywood,127,0,7/12/2020
Henderson,885,50,7/12/2020
Hertford,179,10,7/12/2020
Hoke,458,4,7/12/2020
Hyde,34,0,7/12/2020
Iredell,1108,10,7/12/2020
Jackson,198,1,7/12/2020
Johnston,2044,35,7/12/2020
Jones,43,3,7/12/2020
Lee,927,8,7/12/2020
Lenoir,427,11,7/12/2020
Lincoln,414,2,7/12/2020
Macon,323,1,7/12/2020
Madison,17,0,7/12/2020
Martin,170,5,7/12/2020
McDowell,317,2,7/12/2020
Mecklenburg,15024,159,7/12/2020
Mitchell,55,0,7/12/2020
Montgomery,399,9,7/12/2020
Moore,635,14,7/12/2020
Nash,625,6,7/12/2020
New Hanover,1451,7,7/12/2020
Northampton,196,16,7/12/2020
Onslow,412,3,7/12/2020
Orange,961,43,7/12/2020
Pamlico,34,0,7/12/2020
Pasquotank,243,17,7/12/2020
Pender,365,2,7/12/2020
Perquimans,39,2,7/12/2020
Person,130,1,7/12/2020
Pitt,946,6,7/12/2020
Polk,99,4,7/12/2020
Randolph,1475,32,7/12/2020
Richmond,365,7,7/12/2020
Robeson,1632,43,7/12/2020
Rockingham,294,2,7/12/2020
Rowan,1499,43,7/12/2020
Rutherford,383,9,7/12/2020
Sampson,1190,7,7/12/2020
Scotland,166,2,7/12/2020
Stanly,563,5,7/12/2020
Stokes,168,1,7/12/2020
Surry,580,2,7/12/2020
Swain,71,1,7/12/2020
Transylvania,48,1,7/12/2020
Tyrrell,50,1,7/12/2020
Union,1821,26,7/12/2020
Vance,563,40,7/12/2020
Wake,7447,71,7/12/2020
Warren,191,6,7/12/2020
Washington,50,3,7/12/2020
Watauga,120,0,7/12/2020
Wayne,1990,30,7/12/2020
Wilkes,620,7,7/12/2020
Wilson,920,24,7/12/2020
Yadkin,377,5,7/12/2020
Yancey,59,0,7/12/2020
