county,cases,deaths,date
Alamance,2248,41,8/3/2020
Alexander,271,2,8/3/2020
Alleghany,156,0,8/3/2020
Anson,303,2,8/3/2020
Ashe,120,1,8/3/2020
Avery,84,0,8/3/2020
Beaufort,351,2,8/3/2020
Bertie,249,5,8/3/2020
Bladen,589,7,8/3/2020
Brunswick,1198,17,8/3/2020
Buncombe,1715,46,8/3/2020
Burke,1562,26,8/3/2020
Cabarrus,2430,46,8/3/2020
Caldwell,1138,9,8/3/2020
Camden,63,2,8/3/2020
Carteret,300,4,8/3/2020
Caswell,186,2,8/3/2020
Catawba,1933,24,8/3/2020
Chatham,1245,50,8/3/2020
Cherokee,239,3,8/3/2020
Chowan,144,1,8/3/2020
Clay,58,0,8/3/2020
Cleveland,1037,17,8/3/2020
Columbus,833,46,8/3/2020
Craven,634,10,8/3/2020
Cumberland,2762,50,8/3/2020
Currituck,70,0,8/3/2020
Dare,202,2,8/3/2020
Davidson,1653,18,8/3/2020
Davie,376,3,8/3/2020
Duplin,1939,43,8/3/2020
Durham,5909,78,8/3/2020
Edgecombe,589,11,8/3/2020
Forsyth,4955,48,8/3/2020
Franklin,797,25,8/3/2020
Gaston,3035,39,8/3/2020
Gates,45,2,8/3/2020
Graham,27,0,8/3/2020
Granville,1185,25,8/3/2020
Greene,311,3,8/3/2020
Guilford,5254,147,8/3/2020
Halifax,642,6,8/3/2020
Harnett,1158,36,8/3/2020
Haywood,348,6,8/3/2020
Henderson,1374,53,8/3/2020
Hertford,295,11,8/3/2020
Hoke,674,8,8/3/2020
Hyde,37,0,8/3/2020
Iredell,1701,17,8/3/2020
Jackson,395,3,8/3/2020
Johnston,3085,43,8/3/2020
Jones,74,3,8/3/2020
Lee,1217,10,8/3/2020
Lenoir,536,11,8/3/2020
Lincoln,751,3,8/3/2020
Macon,450,2,8/3/2020
Madison,40,0,8/3/2020
Martin,240,6,8/3/2020
McDowell,609,9,8/3/2020
Mecklenburg,21015,212,8/3/2020
Mitchell,78,2,8/3/2020
Montgomery,594,13,8/3/2020
Moore,909,20,8/3/2020
Nash,1063,11,8/3/2020
New Hanover,2358,19,8/3/2020
Northampton,279,16,8/3/2020
Onslow,934,10,8/3/2020
Orange,1293,45,8/3/2020
Pamlico,60,1,8/3/2020
Pasquotank,359,17,8/3/2020
Pender,626,3,8/3/2020
Perquimans,71,2,8/3/2020
Person,201,2,8/3/2020
Pitt,1795,11,8/3/2020
Polk,140,5,8/3/2020
Randolph,2065,36,8/3/2020
Richmond,481,8,8/3/2020
Robeson,2658,51,8/3/2020
Rockingham,480,3,8/3/2020
Rowan,2032,48,8/3/2020
Rutherford,668,13,8/3/2020
Sampson,1427,12,8/3/2020
Scotland,286,2,8/3/2020
Stanly,906,11,8/3/2020
Stokes,266,3,8/3/2020
Surry,872,8,8/3/2020
Swain,105,2,8/3/2020
Transylvania,128,1,8/3/2020
Tyrrell,90,1,8/3/2020
Union,2823,41,8/3/2020
Vance,738,40,8/3/2020
Wake,11235,133,8/3/2020
Warren,243,6,8/3/2020
Washington,121,3,8/3/2020
Watauga,261,0,8/3/2020
Wayne,2328,37,8/3/2020
Wilkes,736,10,8/3/2020
Wilson,1418,34,8/3/2020
Yadkin,496,6,8/3/2020
Yancey,73,0,8/3/2020
