county,cases,deaths,date
Alamance,1460,37,7/13/2020
Alexander,174,1,7/13/2020
Alleghany,42,0,7/13/2020
Anson,208,1,7/13/2020
Ashe,64,1,7/13/2020
Avery,30,0,7/13/2020
Beaufort,154,0,7/13/2020
Bertie,157,4,7/13/2020
Bladen,446,5,7/13/2020
Brunswick,802,8,7/13/2020
Buncombe,898,31,7/13/2020
Burke,1217,21,7/13/2020
Cabarrus,1677,33,7/13/2020
Caldwell,653,6,7/13/2020
Camden,38,1,7/13/2020
Carteret,136,3,7/13/2020
Caswell,154,2,7/13/2020
Catawba,1253,14,7/13/2020
Chatham,1061,45,7/13/2020
Cherokee,80,2,7/13/2020
Chowan,37,0,7/13/2020
Clay,16,0,7/13/2020
Cleveland,528,8,7/13/2020
Columbus,623,39,7/13/2020
Craven,452,8,7/13/2020
Cumberland,1633,41,7/13/2020
Currituck,25,0,7/13/2020
Dare,114,1,7/13/2020
Davidson,1263,15,7/13/2020
Davie,253,3,7/13/2020
Duplin,1672,33,7/13/2020
Durham,4604,70,7/13/2020
Edgecombe,388,9,7/13/2020
Forsyth,3731,40,7/13/2020
Franklin,504,21,7/13/2020
Gaston,1859,15,7/13/2020
Gates,29,2,7/13/2020
Graham,10,0,7/13/2020
Granville,944,24,7/13/2020
Greene,223,3,7/13/2020
Guilford,3682,123,7/13/2020
Halifax,428,4,7/13/2020
Harnett,793,32,7/13/2020
Haywood,128,0,7/13/2020
Henderson,948,50,7/13/2020
Hertford,179,10,7/13/2020
Hoke,467,4,7/13/2020
Hyde,34,0,7/13/2020
Iredell,1138,10,7/13/2020
Jackson,206,1,7/13/2020
Johnston,2091,35,7/13/2020
Jones,43,3,7/13/2020
Lee,950,8,7/13/2020
Lenoir,427,11,7/13/2020
Lincoln,433,2,7/13/2020
Macon,328,1,7/13/2020
Madison,18,0,7/13/2020
Martin,171,5,7/13/2020
McDowell,319,2,7/13/2020
Mecklenburg,15319,163,7/13/2020
Mitchell,56,0,7/13/2020
Montgomery,402,9,7/13/2020
Moore,640,14,7/13/2020
Nash,640,6,7/13/2020
New Hanover,1484,7,7/13/2020
Northampton,198,16,7/13/2020
Onslow,418,3,7/13/2020
Orange,992,43,7/13/2020
Pamlico,36,0,7/13/2020
Pasquotank,244,17,7/13/2020
Pender,382,2,7/13/2020
Perquimans,39,2,7/13/2020
Person,131,1,7/13/2020
Pitt,963,6,7/13/2020
Polk,101,4,7/13/2020
Randolph,1512,32,7/13/2020
Richmond,373,7,7/13/2020
Robeson,1638,43,7/13/2020
Rockingham,307,2,7/13/2020
Rowan,1522,43,7/13/2020
Rutherford,395,9,7/13/2020
Sampson,1198,7,7/13/2020
Scotland,170,2,7/13/2020
Stanly,572,5,7/13/2020
Stokes,169,1,7/13/2020
Surry,582,3,7/13/2020
Swain,71,1,7/13/2020
Transylvania,52,1,7/13/2020
Tyrrell,53,1,7/13/2020
Union,1858,26,7/13/2020
Vance,585,40,7/13/2020
Wake,7640,71,7/13/2020
Warren,191,6,7/13/2020
Washington,51,3,7/13/2020
Watauga,128,0,7/13/2020
Wayne,2006,30,7/13/2020
Wilkes,628,7,7/13/2020
Wilson,942,24,7/13/2020
Yadkin,385,5,7/13/2020
Yancey,60,0,7/13/2020
