County,Cases,Deaths
Alamance,465,23
Alexander,43,0
Alleghany,28,0
Anson,72,1
Ashe,40,0
Avery,3,0
Beaufort,41,0
Bertie,134,4
Bladen,162,2
Brunswick,142,3
Buncombe,396,33
Burke,547,16
Cabarrus,588,23
Caldwell,201,3
Camden,3,0
Carteret,39,3
Caswell,96,1
Catawba,293,8
Chatham,723,29
Cherokee,22,1
Chowan,17,0
Clay,5,0
Cleveland,121,2
Columbus,368,27
Craven,232,5
Cumberland,775,26
Currituck,15,0
Dare,20,1
Davidson,511,13
Davie,117,2
Duplin,"1,006",19
Durham,"2,114",48
Edgecombe,228,9
Forsyth,"1,774",17
Franklin,185,21
Gaston,364,8
Gates,24,1
Graham,4,0
Granville,501,13
Greene,95,2
Guilford,"1,614",78
Halifax,201,1
Harnett,333,28
Haywood,59,0
Henderson,372,47
Hertford,135,3
Hoke,278,1
Hyde,2,0
Iredell,332,5
Jackson,47,1
Johnston,620,19
Jones,25,3
Lee,530,4
Lenoir,235,7
Lincoln,100,0
Macon,121,1
Madison,3,0
Martin,76,4
McDowell,100,1
Mecklenburg,"5,509",109
Mitchell,14,0
Montgomery,160,4
Moore,259,11
Nash,236,4
New Hanover,259,5
Northampton,156,14
Onslow,134,2
Orange,398,40
Pamlico,12,0
Pasquotank,117,13
Pender,108,1
Perquimans,26,2
Person,58,1
Pitt,394,2
Polk,47,4
Randolph,792,15
Richmond,184,3
Robeson,862,14
Rockingham,115,2
Rowan,761,35
Rutherford,198,5
Sampson,597,4
Scotland,97,0
Stanly,118,4
Stokes,85,0
Surry,274,2
Swain,25,0
Transylvania,16,1
Tyrrell,4,0
Union,575,20
Vance,366,26
Wake,"2,235",40
Warren,89,2
Washington,32,3
Watauga,40,0
Wayne,"1,306",20
Wilkes,509,6
Wilson,443,12
Yadkin,216,3
Yancey,21,0
